idx,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,-0.00344923,0.0158006,0,0
2,-0.00048284,0.00192026,0.100001,-0.0632109
3,-0.00048284,0.00192026,0.100001,-0.0247356
4,-0.000466783,0.000558946,0.100001,-0.019037
5,-0.000436122,-0.00126432,0.197146,-0.0138915
6,-0.000352787,-0.00230769,0.20015,-0.00552682
7,-0.00243871,0.00329163,0.294189,-0.00393565
8,-0.00172227,0.00309566,0.297254,-0.00102968
9,-0.00102949,0.00297586,0.391109,-0.000872203
10,-0.000195784,0.00285535,0.397259,-0.00149709
11,-0.0029727,0.00998705,0.484962,-0.00385119
12,-0.00521553,0.012333,0.49727,-0.0412286
13,-0.00394578,0.0101431,0.497267,-0.018919
14,-0.00335137,0.00786284,0.583637,-0.0133966
15,-0.00195762,0.00792994,0.590392,-0.00830854
16,-0.000697346,0.00711547,0.635001,-0.0138937
17,0.000477338,0.00690132,0.657661,-0.0122494
18,0.00164788,0.00407561,0.671256,-0.0171605
19,0.0027523,0.00237818,0.699061,-0.00546836
20,0.0022588,0.0017728,0.709702,-0.00562564
21,-0.00229302,-0.00346989,0.726519,-0.0143114
22,0.000509104,-0.00185161,0.737275,0.0101698
23,0.00245323,-0.000931219,0.746716,0.0178381
24,0.00400169,3.75919e-05,0.755899,0.00493389
25,0.00526651,-0.00178627,0.756515,-0.00343232
26,0.00746598,-0.00167286,0.760807,0.00106669
27,0.00818751,-0.00160277,0.768773,-0.00402813
28,0.00323819,-0.00201296,0.772581,-0.012576
29,0.0021624,-0.00145706,0.777287,-0.032435
30,0.0017555,-0.00461714,0.780918,-0.0405679
31,0.00644184,-0.014318,0.783756,-0.0284413
32,0.0137069,-0.0193059,0.786613,0.036415
33,0.0135129,-0.0150161,0.788517,0.0314494
34,0.0128319,-0.0113509,0.768454,0.00320878
35,0.0165546,-0.0096361,0.783106,-0.0227746
36,0.015345,-0.0117874,0.794817,-0.0106763
37,0.0141043,-0.0128865,0.787632,-0.0151963
38,0.0104775,-0.0143922,0.795107,-0.0209763
39,0.0113692,-0.0186617,0.792934,-0.0276741
40,0.0102056,-0.0213868,0.794981,-0.000416811
41,0.0104223,0.0045026,0.796162,-0.00196091
42,0.0138037,-0.00755848,0.795977,0.146843
43,0.0181218,0.0100156,0.797398,0.114227
44,0.0187312,0.0213513,0.791132,0.0369343
45,0.0182131,0.0323131,0.795463,-0.0114311
46,0.0176371,0.0319173,0.789273,-0.0706687
47,0.0162004,0.0308277,0.793742,-0.0639269
48,0.00885933,0.0249153,0.798585,-0.0768143
49,0.00511158,0.0164667,0.79569,-0.0676813
50,0.00418861,0.00984927,0.799103,-0.0445115
51,0.0108464,-0.0203102,0.797942,-0.0211047
52,0.00448756,0.039892,0.798684,-0.244771
53,-0.00282309,0.0125358,0.799092,-0.272401
54,-0.00975368,-0.0108399,0.797666,-0.124631
55,-0.0125161,-0.0252017,0.800441,-0.0516568
56,-0.0140048,-0.0307438,0.796796,0.0146372
57,-0.0182341,-0.0295639,0.798894,0.0401816
58,-0.0191878,-0.0257634,0.798864,0.0335833
59,-0.0215532,-0.0212154,0.79831,0.0350119
60,-0.0220656,-0.0178669,0.799483,0.0200773
61,-0.00121001,-0.117162,0.798594,0.026456
62,0.00763671,-0.0788626,0.799068,0.475441
63,0.0150067,-0.0433731,0.79811,0.313027
64,0.0211399,-0.0166542,0.798269,0.175604
65,0.0229984,-8.51849e-05,0.797781,0.071106
66,0.0233923,0.00704006,0.799601,-0.00440105
67,0.0229659,0.00698531,0.7994,-0.0415166
68,0.0227942,0.0032236,0.79933,-0.0535191
69,0.0214742,-0.00154178,0.79946,-0.0515477
70,0.0205162,-0.00644773,0.798948,-0.0505467
71,-0.00169283,0.020534,0.799655,-0.0465795
72,-0.00689957,0.0182397,0.799682,-0.160791
73,-0.00826686,0.00345247,0.799503,-0.167797
74,-0.00861191,-0.0129162,0.800626,-0.09792
75,-0.00780511,-0.023444,0.800741,-0.0366338
76,-0.00684291,-0.0273134,0.800695,0.00125863
77,-0.00576058,-0.0309497,0.80059,0.0106205
78,-0.00638872,-0.0314397,0.800612,0.0288411
79,-0.00558043,-0.0287089,0.800204,0.0214729
80,-0.00508001,-0.0266418,0.800138,0.0101036
81,-0.00183752,-0.044155,0.800115,0.00281666
82,-0.00137977,-0.0410967,0.799996,0.19301
83,0.00187532,-0.0408626,0.80006,0.178978
84,0.00457188,-0.0231302,0.800045,0.201109
85,0.00795511,-0.00653983,0.799182,0.11035
86,0.00825442,0.00539418,0.798962,0.0638612
87,0.0130259,0.0161995,0.79925,0.0131649
88,0.0123625,0.0267342,0.798947,-0.0207092
89,0.0109102,0.0283477,0.799467,-0.080618
90,0.00949784,0.0206793,0.799743,-0.0860889
91,-0.00567141,0.0302124,0.800011,-0.0557318
92,-0.00613919,0.0081299,0.800265,-0.0543423
93,-0.00397319,0.00284518,0.800352,0.0158506
94,-0.000378433,-0.00027764,0.800449,0.0233377
95,0.00168324,0.00192068,0.799838,0.0457803
96,0.00324777,0.00634237,0.799995,0.0263642
97,0.00429079,0.0089499,0.799828,0.00523161
98,0.00409368,0.012091,0.799738,-0.00746444
99,0.00450447,0.0114598,0.799907,-0.0387342
100,0.00239205,0.00806162,0.799855,-0.0347082
101,-0.00315076,-0.00402668,0.800104,-0.0386102
102,-0.00278768,-0.0130106,0.800094,0.0447721
103,-0.00218403,-0.00637417,0.800265,0.0543483
