idx,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,-0.00692262,0.263778,0,0
2,-0.00692263,0.263778,0.100001,-1
3,-0.00671126,0.229284,0.100001,-1
4,-0.00657367,0.16291,0.102887,-1
5,-0.00740497,0.0810535,0.114623,-0.860763
6,-0.00807001,-3.61821e-05,0.169274,-0.417507
7,-0.00846429,-0.0573983,0.202947,0.0195091
8,-0.00841905,-0.0806507,0.23251,0.323319
9,-0.00825182,-0.0768715,0.23736,0.444884
10,-0.00823643,-0.0506859,0.254808,0.438877
11,-0.00265135,-0.0360077,0.287007,0.330102
12,-0.00374415,-0.00259835,0.349022,0.248482
13,-0.00570199,0.0226574,0.385855,0.114275
14,-0.00818281,0.0340189,0.448222,0.0367342
15,-0.0109553,0.0516585,0.485008,0.0193897
16,-0.0142189,0.057212,0.511495,-0.0432512
17,-0.017118,0.0525915,0.572147,-0.0200696
18,-0.0195091,0.059782,0.593664,0.0314762
19,-0.0217015,0.0631528,0.613999,0.0121406
20,-0.0232856,0.0644494,0.647456,0.0437561
21,0.00303349,-0.0399648,0.668852,0.0645303
22,0.00407093,-0.035109,0.68962,0.331534
23,0.00448552,-0.00473187,0.707654,0.267332
24,0.00353383,0.0198773,0.722716,0.154252
25,0.00165074,0.0404911,0.734779,0.0776263
26,0.000463506,0.0453252,0.733897,0.00471906
27,-0.00140978,0.0459625,0.749273,0.0263192
28,-0.00281518,0.0483041,0.755489,0.0330813
29,-0.00448821,0.053037,0.761354,0.0410939
30,-0.00531334,0.0567861,0.769113,0.0289943
31,0.0100185,-0.0298169,0.771709,0.0335629
32,0.0106426,-0.0267577,0.778456,0.204152
33,0.0126129,-0.011668,0.780405,0.152611
34,0.0119932,0.00186034,0.763423,0.106769
35,0.0107776,0.0118313,0.778911,0.0553734
36,0.00975313,0.0140611,0.780157,0.0201838
37,0.00838571,0.0159649,0.781309,0.0251493
38,0.00710595,0.0182588,0.788115,0.0164919
39,0.00769992,0.01894,0.786194,0.0102813
40,0.00670503,0.0199026,0.791315,0.021632
