idx,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,0.0138744,0.193184,0,0
2,0.00269641,0.226999,0.100001,-0.874209
3,0.00269641,0.226999,0.100001,-1
4,0.0026919,0.192505,0.100001,-1
5,0.00249276,0.126143,0.102887,-0.984266
6,0.00155651,0.044139,0.118173,-0.666722
7,0.0035094,-0.0494637,0.179807,-0.197094
8,0.00361928,-0.0997805,0.207901,0.299267
9,0.00441138,-0.136065,0.174177,0.551953
10,0.00545288,-0.13769,0.236136,0.742102
11,0.0118976,-0.144052,0.233712,0.761369
12,0.0126885,-0.0934554,0.236013,0.744328
13,0.0125331,-0.0243946,0.27706,0.506402
14,0.0109701,0.0437885,0.332088,0.189834
15,0.00860129,0.075833,0.335966,-0.109983
16,0.00452857,0.103183,0.318227,-0.246624
17,9.85041e-05,0.101181,0.404424,-0.34418
18,-0.00464339,0.0697132,0.414174,-0.321253
19,-0.00379851,0.033098,0.507112,-0.131762
20,-0.00517978,0.00158466,0.507103,0.0499082
21,0.0105885,-0.0822244,0.516504,0.195852
22,0.01267,-0.0745764,0.484491,0.402748
23,0.01439,-0.0558459,0.579967,0.342584
24,0.01499,-0.0286072,0.598889,0.282034
25,0.0191791,-0.00367736,0.555601,0.168738
26,0.0177041,0.0122562,0.619052,0.102443
27,0.0155701,0.0278366,0.635996,0.0414648
28,0.0126469,0.0376095,0.628027,-0.0214622
29,0.00811457,0.0396693,0.666806,-0.0525491
30,0.00528891,0.0377312,0.687317,-0.0612139
31,0.00346669,-0.00147359,0.680637,-0.0457405
32,0.00388589,-0.00690083,0.697436,0.0635908
33,0.00615566,-0.0107701,0.719419,0.0682177
34,0.00691298,-0.00441227,0.718932,0.102921
35,0.00722545,0.00222544,0.737851,0.0668578
36,0.0109008,0.00967929,0.746178,0.0467269
37,0.0104351,0.0118178,0.742088,0.0354652
38,0.00974328,0.0163234,0.725126,0.028675
39,0.00884458,0.0192652,0.752112,0.0100145
40,0.00644864,0.0224609,0.755197,-0.000619946
41,0.000460598,0.0180213,0.759848,-0.0189806
42,-0.00101391,0.017958,0.769558,0.0029738
43,-0.00217452,0.0193447,0.767048,0.00474005
44,0.00172214,0.0164995,0.775855,0.00487499
45,0.00140037,0.0169372,0.778638,0.0537946
46,0.00136778,0.0173902,0.77741,0.0465059
47,0.00107568,0.0243775,0.781771,0.0572949
48,0.000924701,0.0289393,0.779853,0.0224563
49,0.000649947,0.0345046,0.782202,0.0156105
50,0.00368029,0.035404,0.787169,-0.00795597
51,0.0106493,0.000590796,0.785946,0.0160691
52,0.0106581,-0.000148014,0.787215,0.0268551
53,0.00859433,0.00341558,0.790596,0.0239834
54,0.00811505,0.00600898,0.790568,-0.0095062
55,0.00736498,0.00834911,0.790634,-0.0198513
56,0.00647062,0.00751475,0.793031,-0.0371822
57,0.00857988,0.00345581,0.79361,-0.0351532
58,0.00803062,-0.000149483,0.794975,-0.00522368
59,0.00769559,-0.00356222,0.795541,-9.79976e-05
60,0.0103257,-0.00519201,0.795605,0.0127711
61,0.00297016,0.00873211,0.796458,0.0288001
62,0.00164584,0.00994057,0.796869,-0.0376734
63,-0.00393097,0.0131041,0.796868,-0.0245187
64,-0.00526261,0.0129834,0.797273,-0.0689398
65,-0.00628437,0.00640014,0.782628,-0.0560473
66,-0.00640759,0.000680466,0.793151,-0.0214516
67,-0.00646379,0.00143268,0.800813,0.00534732
68,-0.00637617,-0.000584628,0.773404,-0.00256057
69,-0.00608296,-0.00091606,0.788126,0.0186008
70,-0.0104798,0.00294956,0.787343,0.0200119
71,-0.0141651,0.0240997,0.787118,-0.0188961
72,-0.0159918,0.0260343,0.793574,-0.0993809
73,-0.0194237,0.0160791,0.790163,-0.0806771
74,-0.0194973,0.00632693,0.787651,-0.0368823
75,-0.0185234,-0.00163096,0.793625,0.0173221
76,-0.0132029,-0.00664525,0.795103,0.0605229
77,-0.0109134,-0.00507422,0.788501,0.112391
78,-0.00851418,-0.00325979,0.793894,0.108666
