idx,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,1.67546e-05,0.00757964,0,0
2,1.67547e-05,0.00757963,0.100001,-0.0336539
3,-6.42091e-05,0.0058077,0.100001,-0.0386397
4,-0.000122642,0.00209642,0.195934,-0.0278553
5,-0.000183897,0.00101715,0.200308,-0.010016
6,-0.000228056,6.60014e-05,0.291647,-0.00268243
7,-0.000265319,-0.000257823,0.300383,0.0018156
8,-0.000296842,-9.65465e-05,0.3829,0.00415231
9,-0.000334167,0.000234896,0.400361,0.00362276
10,-0.000378177,0.000595556,0.482873,0.00324439
11,-0.000138651,0.000252204,0.500347,0.00220879
12,-0.000195957,0.000473838,0.57827,0.00403438
13,0.00153173,0.00129387,0.590087,0.00324997
14,0.00144199,0.00161959,0.636249,0.00937392
15,0.00133428,0.00249746,0.65683,0.00665224
16,0.00119619,0.00316971,0.678833,0.00362354
17,0.0005821,0.0023402,0.700987,0.00133642
18,0.000515358,0.00247949,0.712659,0.00466035
19,0.000454979,0.00292967,0.729629,0.00391433
20,-0.000914343,0.00613823,0.738433,0.00256028
21,-0.00232756,0.00643167,0.749197,-0.0123411
22,-0.00258013,0.00527115,0.756857,-0.0139596
23,-0.00267281,0.00391541,0.763452,-0.00545203
24,-0.000637635,0.00435073,0.769641,0.00170508
25,-0.000580523,0.00447996,0.773955,0.0101804
26,-0.000500687,0.00543606,0.778367,0.00944643
27,-0.000435623,0.00633799,0.781502,0.00674286
28,-0.00074782,0.00372668,0.784466,0.00464395
29,-0.000221225,0.0048021,0.785103,0.0181403
30,-0.00183492,0.00468729,0.788269,0.0136778
31,-0.00296321,0.00532742,0.789871,-0.00612299
32,-0.00301306,0.00478568,0.791189,-0.00680498
33,-0.00294817,0.00414398,0.793002,-0.00140229
34,-0.00524381,0.00512597,0.793722,0.00306127
35,-0.00511256,0.00539396,0.794987,-0.0139178
36,-0.00489138,0.00408607,0.795587,-0.0078935
37,-0.00498294,0.000794444,0.796409,0.000144486
38,-0.00498294,0.000794444,0.796974,0.0166857
39,-0.00372431,0.00234528,0.796974,0.011604
40,-0.00317403,0.00346617,0.797638,0.0125246
41,0.00500036,-0.0111602,0.797893,0.00914711
42,0.00581337,-0.0102822,0.798175,0.0762265
43,0.00627401,-0.00340162,0.79848,0.0537864
44,0.00649304,0.00265713,0.760119,0.0243147
45,0.00608574,0.00525562,0.785549,-0.00162523
46,0.00552861,0.0052185,0.783252,-0.0105655
47,0.0125491,0.00242365,0.781799,-0.0117531
48,0.0122148,0.00129497,0.792385,0.0403285
49,0.0117718,0.00515301,0.785882,0.0284041
50,0.0112574,0.0169877,0.793803,0.00740006
51,0.00995068,0.0177708,0.791203,-0.0193537
52,0.00864162,0.0185138,0.79406,-0.0200234
53,0.00742002,0.0166271,0.796355,-0.0287601
54,0.00245691,0.0133983,0.795609,-0.0198852
55,0.00174356,0.0114543,0.797462,-0.028786
56,0.00125941,0.00867367,0.797225,-0.017244
57,0.000336465,0.0079902,0.798051,-0.00620805
58,0.000132527,0.00737961,0.798351,-0.00942057
59,2.46696e-05,0.00648213,0.798487,-0.00490963
60,-0.0113219,0.0131943,0.798934,-0.000850587
61,-0.0120324,0.0131199,0.798955,-0.0799689
62,-0.0123295,0.00541398,0.799157,-0.05371
63,-0.0119719,0.000105079,0.792196,-0.0157852
64,-0.010628,-0.0014091,0.797169,0.00925759
65,-0.00972895,-0.000580696,0.796743,0.0202285
66,-0.00883004,0.00134558,0.796415,0.0208046
67,-0.000718288,0.00121914,0.798365,0.0175787
68,-0.000718288,0.00121914,0.797078,0.0645231
69,0.00127528,-0.000193337,0.797517,0.0500671
70,0.0029184,0.00637565,0.790867,0.0767579
71,0.00347166,0.0138014,0.795622,0.0423209
72,0.00588809,0.00785631,0.795136,0.0149563
73,-0.00783484,0.0162949,0.792345,0.00525194
74,-0.0103353,0.0168474,0.796298,-0.0637604
75,-0.0120724,0.0149704,0.795118,-0.0425318
76,-0.0135929,0.0122888,0.799654,-0.0352954
77,-0.0136894,0.0088395,0.798321,-0.0238053
78,-0.0130394,0.00650518,0.798738,-0.00512418
79,-0.0118366,0.00598415,0.799698,0.0041016
80,-0.0161777,-0.00301016,0.798758,0.00454825
81,-0.0192309,-0.00254836,0.79985,-0.0317228
82,-0.0206898,-0.00556323,0.799186,-0.0186862
83,-0.021445,-0.00565074,0.799677,-0.0042426
84,-0.0203593,-0.00607993,0.799359,-0.0142619
85,-0.0183262,-0.00744174,0.799073,-0.0164573
86,-0.0141583,-0.0109181,0.798797,-0.0217249
87,-0.0105629,-0.0130177,0.798109,-0.0152014
88,-0.0065702,-0.0145376,0.797374,-0.0322715
89,-0.00350554,-0.0162786,0.796361,-0.0535168
90,0.0123537,-0.0126989,0.795091,-0.0897417
91,0.0273056,-0.0213951,0.791591,-0.243395
92,0.0383488,-0.0383909,0.793233,-0.254194
93,0.0486917,-0.0661979,0.793277,-0.267373
94,0.0546122,-0.0923536,0.792038,-0.208221
95,0.0587553,-0.112526,0.790123,-0.183603
96,0.0615317,-0.134873,0.788885,-0.175191
97,0.0622279,-0.152136,0.787611,-0.152649
98,0.0622279,-0.152136,0.787123,-0.154857
99,0.0601902,-0.183079,0.786792,-0.154627
100,0.0563537,-0.198358,0.786759,-0.155245
101,0.0383972,-0.0970251,0.786515,-0.151643
102,0.0309377,-0.111611,0.790816,-0.218999
103,0.0276877,-0.138176,0.789615,-0.204661
104,0.0246722,-0.158899,0.79548,-0.114779
105,0.0213548,-0.170757,0.793649,-0.0630572
106,0.0187574,-0.167507,0.795643,-0.0457356
107,0.00945461,-0.178756,0.797199,-0.0819534
108,0.00399235,-0.186911,0.798455,-0.0464464
109,-0.0041717,-0.188004,0.799867,-0.018197
110,-0.0389924,0.11395,0.801536,-0.0211804
111,-0.0542242,0.111671,0.793319,-0.391618
112,-0.0645077,0.0697904,0.793235,-0.233206
113,-0.0698439,0.0457435,0.789331,0.034435
114,-0.0713412,0.0481386,0.789401,0.19348
115,-0.070876,0.066767,0.787331,0.23776
116,-0.0649946,0.0910474,0.78551,0.229218
117,-0.0633041,0.113409,0.784261,0.221927
118,-0.0611943,0.135021,0.781948,0.19809
119,-0.0586679,0.154672,0.780439,0.179777
120,-0.00915295,0.0192323,0.778657,0.168906
121,-0.00632636,0.0356249,0.784916,0.359128
122,-0.00522544,0.0753603,0.781464,0.280489
123,-0.00466893,0.100709,0.790866,0.14988
124,-0.006158,0.114852,0.785335,0.101747
125,-0.006158,0.114852,0.78597,0.0959378
126,-0.0155753,0.136335,0.789746,0.0949681
127,-0.0168263,0.144944,0.783325,0.0618965
128,-0.017639,0.15061,0.785217,0.0867891
129,-0.0187687,0.158457,0.781923,0.110458
130,-0.0187375,0.168404,0.779931,0.126887
131,-0.00229834,-0.054318,0.778189,0.137877
132,-0.00474803,-0.0417512,0.786647,0.46976
133,-0.00996489,0.00105898,0.783722,0.384647
134,-0.0139813,0.0363526,0.794827,0.251055
135,-0.0185649,0.0594196,0.788281,0.160098
136,-0.0227699,0.0765344,0.788559,0.13251
137,-0.0264026,0.088847,0.78889,0.114603
138,-0.0291952,0.0996286,0.785476,0.123385
139,-0.0294715,0.106729,0.787223,0.133633
140,-0.0277254,0.086064,0.784364,0.174391
141,-0.0277254,0.086064,0.786079,0.141476
142,-0.0426143,0.113862,0.785765,0.150416
143,-0.0470365,0.127815,0.784013,0.192747
144,-0.04905,0.141984,0.784825,0.198603
145,-0.0491608,0.161547,0.785163,0.211112
146,-0.0467547,0.179069,0.786767,0.18913
147,-0.0439218,0.196629,0.784881,0.19216
148,-0.0401081,0.214822,0.785912,0.17305
149,-0.0320254,0.232915,0.785722,0.144042
150,0.0138001,-0.0605611,0.786483,0.138915
151,0.0331585,-0.0469079,0.790807,0.65988
152,0.0564679,0.00492651,0.786426,0.439193
153,0.0655355,0.043188,0.789369,0.227747
154,0.0704193,0.066579,0.790188,0.0358464
155,0.0722961,0.0709734,0.792931,-0.0951224
156,0.0723522,0.0627562,0.793795,-0.149911
157,0.0723522,0.0627562,0.795701,-0.166795
158,0.0702436,0.0316444,0.79633,-0.161453
159,0.0692838,0.0132197,0.796898,-0.14015
160,0.00902233,-0.00471164,0.797865,-0.117693
161,0.00121204,-0.0162676,0.798574,-0.309938
162,-0.0101791,-0.0452741,0.798995,-0.210502
163,-0.0140847,-0.0669146,0.798101,-0.117576
164,-0.0164852,-0.079271,0.799421,-0.0251977
165,-0.0181115,-0.0822262,0.799722,0.0255881
166,-0.0178556,-0.0831802,0.799682,0.0426482
167,-0.0189873,-0.0789489,0.80024,0.0719938
168,-0.0202717,-0.0718633,0.800078,0.0627647
169,-0.0195636,-0.0671025,0.800258,0.0510022
170,-0.020987,-0.0619799,0.800152,0.0669819
171,-0.0487539,0.14065,0.800278,0.0620564
172,-0.0726967,0.153482,0.794946,-0.323072
173,-0.0771674,0.12092,0.793427,-0.177573
174,-0.0778327,0.103767,0.795045,0.045367
175,-0.074999,0.107408,0.794811,0.160618
176,-0.0691148,0.120995,0.793471,0.190497
177,-0.0632693,0.139668,0.792501,0.189259
178,-0.0568254,0.158333,0.792937,0.156239
179,-0.052432,0.177596,0.793065,0.121199
180,-0.0147262,0.00580789,0.793986,0.0595376
181,-0.0063454,0.0155979,0.794715,0.185376
182,0.000425611,0.0337809,0.795937,0.0931227
183,0.00731085,0.0326443,0.796043,0.00924576
184,0.0168881,0.0436248,0.795694,0.0735299
185,0.0202801,0.0507189,0.796551,-0.0602383
186,0.0166657,0.048117,0.797056,-0.0975226
187,0.0190655,0.038536,0.797098,-0.151269
188,0.0216427,0.0236462,0.798045,-0.132624
189,0.0240094,0.014002,0.797397,-0.10891
190,0.0282349,-0.0879178,0.797714,-0.115727
191,0.0369805,-0.0989901,0.792164,-0.00909265
192,0.0434986,-0.104146,0.792471,-0.0512327
193,0.0490548,-0.112907,0.788111,-0.0882879
194,0.0490548,-0.112907,0.787337,-0.116746
195,0.0519098,-0.132362,0.788706,-0.108246
196,0.0510933,-0.13964,0.783952,-0.179548
197,0.0486136,-0.152059,0.784923,-0.217512
198,0.0453965,-0.172284,0.783539,-0.230694
199,0.0424385,-0.193421,0.780311,-0.202833
200,-0.00573002,0.0362449,0.781068,-0.174562
201,-0.0116278,0.019267,0.790417,-0.436615
202,-0.0142511,-0.0249556,0.785938,-0.314223
203,-0.0103459,-0.057024,0.793437,-0.150478
204,-0.0079905,-0.0713341,0.789312,-0.0358593
205,-0.00518553,-0.0750598,0.790924,-0.0229613
206,-0.00675686,-0.0803107,0.790924,-0.0380089
207,-0.00379868,-0.0838313,0.789192,-0.0699983
208,-0.000895235,-0.0903638,0.789866,-0.086449
209,0.00838032,-0.0996855,0.787975,-0.0970128
210,0.0061922,0.0291687,0.787665,-0.0696331
211,0.0170591,0.0226351,0.790762,-0.27282
212,0.0225524,0.00134112,0.789576,-0.263904
213,0.0293446,-0.0227612,0.791165,-0.26264
214,0.0350376,-0.0468534,0.78998,-0.215434
215,0.0396773,-0.0654522,0.78924,-0.180946
216,0.0421048,-0.0823195,0.790438,-0.171711
217,0.0441059,-0.0988753,0.789973,-0.173654
218,0.0450834,-0.115464,0.789941,-0.16415
219,0.0427753,-0.12758,0.788476,-0.154093
220,0.0256938,-0.0671442,0.787187,-0.187959
221,0.0278893,-0.0852453,0.791165,-0.20745
222,0.0243757,-0.101226,0.790043,-0.170852
223,0.0245602,-0.117787,0.792696,-0.185887
224,0.0240796,-0.134934,0.791235,-0.14715
225,0.0165457,-0.146619,0.791822,-0.118631
226,0.0143986,-0.158654,0.793972,-0.146612
227,0.0117638,-0.172944,0.793533,-0.114151
228,0.00879413,-0.184191,0.795164,-0.0819972
229,0.0050506,-0.194827,0.79597,-0.0570718
230,-0.0321716,0.0802571,0.796944,-0.0292151
231,-0.0454502,0.0773166,0.796187,-0.359102
232,-0.0538794,0.0356332,0.794929,-0.219046
233,-0.0578783,0.0127939,0.794428,0.0138057
234,-0.0584803,0.0131059,0.795288,0.132424
235,-0.0573245,0.0258197,0.795373,0.159892
236,-0.0537771,0.0388103,0.795215,0.145507
237,-0.0508643,0.0530716,0.795455,0.145367
238,-0.0474395,0.0672592,0.795401,0.119947
239,-0.0427696,0.0753603,0.79567,0.0957606
240,-0.00392536,0.0217546,0.795912,0.102609
241,0.0059917,0.0317073,0.796798,0.142445
242,0.0136173,0.0480838,0.796623,0.0668038
243,0.0188947,0.0551936,0.797008,-0.0205988
244,0.0188947,0.0551936,0.79784,-0.0597897
245,0.0255747,0.0476975,0.798184,-0.0476872
246,0.0308054,0.0388048,0.798726,-0.0735437
247,0.0326298,0.0315569,0.799407,-0.0362499
248,0.0338784,0.0278254,0.799473,-0.0397483
249,0.0382165,0.019892,0.799917,-0.0504415
250,0.0341058,-0.0506731,0.799995,-0.0180687
251,0.0367764,-0.0526198,0.79858,-0.0649584
252,0.0331214,-0.0611709,0.7997,-0.0856769
253,0.032563,-0.0697223,0.79769,-0.104174
