idx,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,0.00182007,0.010306,0,0
2,0.000369097,-0.00638546,0.100001,-0.0302091
3,0.000536403,-0.0079992,0.100001,0.0200756
4,0.000706379,-0.00612326,0.196402,0.0297132
5,0.00100968,-0.00671229,0.199836,0.0210607
6,0.0012973,-0.00472417,0.292801,0.0167479
7,0.00166235,-0.00564145,0.299663,0.00606095
8,0.00201856,-0.00509719,0.385879,0.00394765
9,0.00241983,-0.00623782,0.399611,-0.00149603
10,0.00281826,-0.00642969,0.472136,-0.00263949
11,-0.00272292,-0.00262738,0.499581,-0.00697995
12,-0.00060608,-0.00330907,0.572151,0.00431818
13,0.00253356,-0.00477715,0.599629,-0.00249784
14,0.00440248,-0.00437699,0.638361,-6.75193e-05
15,0.00610412,-0.00445346,0.65587,-0.0112496
16,0.00748981,-0.00548923,0.678575,-0.0233546
17,0.0113579,-0.0107541,0.709654,-0.0272076
18,0.0124905,-0.013459,0.713593,0.000341631
19,0.0133063,-0.0134994,0.738184,-0.00904749
20,0.0138232,-0.0170413,0.743353,-0.0220273
21,0.0166184,0.0481434,0.752665,-0.0173294
22,0.00447968,0.0464155,0.763322,-0.465808
23,-0.00535381,0.008352,0.766504,-0.351575
24,-0.00833952,-0.0290605,0.762482,-0.193431
25,-0.0120121,-0.0491326,0.771906,-0.0152014
26,-0.0141217,-0.0514318,0.780789,0.0534199
27,-0.0156714,-0.0463896,0.777251,0.0637459
28,-0.0171042,-0.0386192,0.787857,0.0527639
29,-0.0184426,-0.0335223,0.785266,0.0308776
30,-0.0195134,-0.0305395,0.78984,0.0279042
31,0.0105803,-0.0708719,0.791822,0.0304259
32,0.017114,-0.0679758,0.791458,0.372887
33,0.0210486,-0.0362499,0.794168,0.266683
34,0.0229748,-0.0116221,0.78955,0.123868
35,0.0230449,0.000213499,0.79231,0.0215512
36,0.0203479,0.00143542,0.795465,-0.0282327
37,0.0191194,-0.00101447,0.793897,-0.0484132
38,0.017793,-0.00546639,0.796993,-0.0474741
39,0.0164561,-0.0100562,0.795854,-0.0406449
40,0.0151524,-0.0140667,0.797385,-0.0337643
41,0.000724612,-0.00717457,0.798057,-0.0280561
42,-0.000451249,-0.00996584,0.797793,0.0702891
43,0.0044812,-0.0063088,0.799096,0.0677136
44,0.00389891,0.000280958,0.796924,0.0901684
45,0.00315884,0.0090227,0.798049,0.0576601
46,0.00223737,0.0146971,0.798413,0.0269472
47,0.000561698,0.0167912,0.797663,0.0102142
48,-8.38475e-05,0.017803,0.79907,0.00345636
49,-0.000477271,0.0181342,0.798371,0.00297124
50,-0.00225631,0.0214461,0.799129,0.00378909
51,0.000472282,0.0103417,0.799174,-0.0217914
52,0.00519764,0.0082753,0.799019,-0.0125065
53,0.00853183,0.0111151,0.799537,-0.0229083
54,0.0112081,0.00891674,0.799246,-0.0586166
55,0.0132362,0.0032768,0.799617,-0.060181
56,0.016877,0.000596078,0.799695,-0.0536496
57,0.0178516,-0.00467214,0.799804,-0.0536756
58,0.0184423,-0.00994735,0.799917,-0.0502171
59,0.0198905,-0.0153735,0.799877,-0.0472594
60,0.0198519,-0.0200392,0.799978,-0.0358077
61,-0.00345494,-0.005692,0.799886,-0.0369352
62,-0.00164671,-0.00934382,0.800308,0.0633281
63,0.000788983,0.00777063,0.80005,0.0572734
64,0.000948746,0.0139622,0.797176,-0.0290307
65,0.000819527,0.0114281,0.798467,-0.0412474
66,-0.00298688,0.0113853,0.799777,-0.0284606
67,-0.00304954,0.0073229,0.798312,-0.0564293
68,-0.00282982,0.00180105,0.799679,-0.0294546
69,-0.00379377,-0.000797221,0.79895,-0.00951359
70,-0.00325439,-0.001804,0.799862,-0.00960668
71,0.00327552,-0.0315931,0.799559,-0.00460799
72,0.00248258,-0.0320885,0.799721,0.10455
73,0.00182517,-0.0242831,0.799972,0.0847531
74,0.000891161,-0.0160353,0.798351,0.0575756
75,-0.00076123,-0.0124873,0.798929,0.027582
76,-0.00176142,-0.00975501,0.799196,0.0202521
77,-0.00265058,-0.00778128,0.798719,0.0123124
78,-0.00338843,-0.0065808,0.799546,0.00821006
79,-0.000165897,-0.00937655,0.799085,0.00685653
80,-0.000237406,-0.00871991,0.799511,0.0472926
81,-0.00130715,0.0234238,0.79952,0.0362697
82,-0.00481732,0.0274021,0.798288,-0.104064
83,-0.00760877,0.0176252,0.798977,-0.0822349
84,-0.0078095,0.0100195,0.799828,-0.0313217
85,-0.00837747,0.00465648,0.799417,0.0103186
86,-0.00829818,0.00541856,0.799764,0.0379287
87,-0.0096341,0.00725419,0.799364,0.0368503
88,-0.00911382,0.0108435,0.799595,0.0288106
89,-0.00852201,0.0136625,0.799459,0.0211555
90,-0.00783313,0.0157335,0.799476,0.0160917
91,-0.00624955,-0.0105254,0.799597,0.0128837
92,-0.00232029,-0.0092709,0.799506,0.084839
93,0.000872447,-0.00143328,0.799563,0.0570043
94,0.00253064,0.00472525,0.799155,0.019672
95,0.00402036,0.00676025,0.79917,-0.0138761
96,0.00509591,0.00551305,0.799451,-0.0245239
97,0.00590371,0.00243255,0.799384,-0.0253625
98,0.00666704,-4.56376e-06,0.799731,-0.0196755
99,0.00727174,-0.00190006,0.79969,-0.0192369
100,0.00770218,-0.00374371,0.799808,-0.020454
101,-0.00461032,0.026737,0.799867,-0.0217252
102,-0.00493111,0.0246517,0.799988,-0.110009
103,-0.00530183,0.0238893,0.800001,-0.0790841
104,-0.00497591,0.0181216,0.799666,-0.0919985
105,-0.00483658,0.00917699,0.800067,-0.0589225
106,-0.0042307,0.0033332,0.800468,-0.0227161
107,-0.00340993,0.00101362,0.800228,-0.00183921
108,-0.00192866,0.00278355,0.800478,0.00566772
109,-0.00139374,0.00329587,0.80021,-0.0016745
110,-0.000251513,0.00100582,0.800227,-0.00169884
111,0.00269431,-0.0290977,0.800216,0.015572
112,0.00579829,-0.0276341,0.800128,0.173635
113,0.00838219,-0.0200148,0.799998,0.125833
114,0.00773935,-0.00983996,0.799656,0.104667
115,0.00846089,0.000429625,0.799403,0.0441269
116,0.00833167,0.00730548,0.799346,0.00334617
117,0.00454441,0.00957563,0.799668,-0.0284198
118,0.00363558,0.009953,0.799899,-0.0559426
119,0.00277,0.00474897,0.799506,-0.0582341
120,0.00222576,-0.000897127,0.8002,-0.0361947
121,-0.00561096,0.00841539,0.800203,-0.0169027
122,-0.00666106,0.00674948,0.800123,-0.0596561
123,-0.00918621,-0.000439617,0.800326,-0.036615
124,-0.00918447,-0.00438611,0.800384,-0.0105735
125,-0.0088459,-0.0054957,0.80035,0.00910927
126,-0.00837047,-0.00466325,0.800197,0.0163593
127,-0.00418711,-0.00489479,0.800289,0.0169843
128,-0.00356385,-0.0032535,0.800016,0.0450419
129,-0.00424538,0.00200561,0.800103,0.0349942
130,-0.00403706,0.00543311,0.799861,0.00912423
131,0.00254166,-0.00313891,0.799793,0.00299597
132,0.00255383,-0.00284405,0.799917,0.0354688
133,0.00250151,0.000551587,0.79983,0.0268127
134,0.00134115,0.00345383,0.799799,0.0128998
135,0.000987259,0.00473793,0.799733,-0.00261327
136,0.00064403,0.00454864,0.799794,-0.00447337
137,0.00220761,0.00124298,0.799831,-0.00237477
138,0.00225826,0.00100539,0.799878,0.0260461
139,-0.000862311,0.00532067,0.799909,0.020804
140,-0.00111766,0.00736302,0.799817,-0.0164052
141,-0.00277501,-0.00479823,0.799799,-0.0161894
142,-0.00208697,-0.00665854,0.800233,0.0285271
143,-0.0041426,-0.00426213,0.800001,0.028464
144,-0.00368339,-0.00148565,0.799799,0.00389312
145,-0.00337161,-0.0010619,0.79997,-0.00198692
146,-0.00515978,0.000758729,0.799793,-0.00114628
147,-0.00502391,0.000687984,0.799992,-0.0212337
148,-0.00488907,0.000621089,0.799908,-0.014087
149,-0.00471122,-0.000691716,0.799858,-0.0153217
150,-0.00113903,-0.00489682,0.799989,-0.0067099
151,-0.000551657,-0.00557223,0.800011,0.0330029
152,-0.00192738,0.00634107,0.800012,0.0276393
153,-0.00152431,0.00926549,0.799789,-0.0531303
154,-0.00128159,0.00432878,0.799927,-0.0517697
155,-0.000837727,-0.000696573,0.800209,-0.0319397
156,0.00234147,-0.00422817,0.800214,-0.0157988
157,0.00297519,-0.00581067,0.800282,0.00794959
158,0.00347998,-0.00508986,0.800234,0.00542661
159,0.0054889,-0.00511609,0.800134,-0.0021792
160,0.00563961,-0.00532449,0.800117,0.00414708
161,0.00607768,-0.00468765,0.800084,-0.00192377
162,0.0108643,-0.00433863,0.800065,0.0192587
163,0.0111948,-0.00250664,0.800049,0.0277758
164,0.0111549,0.000185273,0.799956,0.00864913
165,0.00813171,0.000602374,0.799875,-0.00821214
166,0.00760066,-0.000143718,0.799893,-0.0283747
167,0.00703462,-0.00284569,0.799954,-0.0270896
168,0.0067686,-0.0070458,0.800033,-0.0210742
169,0.00643573,-0.00912704,0.800106,-0.0057927
170,0.00608173,-0.00973588,0.800096,-0.00529394
171,0.0140838,-0.0210161,0.800092,-0.00808635
172,0.0150822,-0.0218141,0.800087,0.0927319
173,0.0157161,-0.017218,0.799924,0.0618679
174,0.0157076,-0.0112032,0.799722,0.0399755
175,0.0136162,-0.00460426,0.799459,0.00461972
176,0.0123786,-0.0040485,0.799581,-0.0402061
177,0.0109139,-0.00369756,0.799564,-0.042912
178,0.00838163,-0.00800532,0.799831,-0.057967
179,0.00708596,-0.0136086,0.799966,-0.0484495
180,0.00605659,-0.018332,0.800052,-0.0314792
181,-0.00425541,0.0185097,0.800223,-0.0196398
182,-0.00545054,0.0150945,0.800215,-0.0817811
183,-0.00579257,0.00494654,0.800186,-0.0477057
184,-0.0052449,-0.000961587,0.80023,-0.000923463
185,-0.00457771,-0.00125847,0.800134,0.0228025
186,-0.00393809,0.000892981,0.800051,0.0227193
187,-0.00343666,0.00308725,0.799976,0.0160688
188,-0.00439668,0.00321413,0.79992,0.0104717
189,-0.00396763,0.00422509,0.799894,0.00843051
190,-0.00357594,0.00503023,0.799888,0.00767626
191,0.000806506,-0.026074,0.799879,0.00748276
192,0.00315416,-0.0253647,0.79989,0.128642
193,0.00492138,-0.0138962,0.799804,0.0940731
194,0.00533315,-0.00594458,0.799519,0.04441
195,0.0054456,0.00116255,0.7993,0.0126238
196,0.00506916,0.00270396,0.799641,-0.0212703
197,0.00458207,0.00073729,0.799693,-0.0253721
198,0.00448723,-0.000686247,0.799786,-0.0191072
199,0.00406716,-0.00252628,0.799964,-0.0165958
