idx,car_position_x,car_position_y,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,5.63389e-05,-1.29747e-08,0.00812788,-0.0157816,0,0
2,5.63556e-05,-1.3193e-08,0.00812788,-0.0157816,0.2,-0.063277
3,0.00995824,-7.53425e-07,0.00796725,-0.0167239,0.4,-0.063277
4,0.0299595,-4.13077e-06,0.00761383,-0.0186684,0.6,-0.0636364
5,0.0600608,-1.27919e-05,0.00700866,-0.0216018,0.8,-0.0645366
6,0.100262,-2.91844e-05,0.0060637,-0.0254677,1,-0.0660963
7,0.150563,-5.57093e-05,0.00466471,-0.0301989,1.2,-0.0684184
8,0.210965,-9.48537e-05,0.00267496,-0.0357064,1.4,-0.0716887
9,0.281467,-0.000149126,-6.02926e-05,-0.0418816,1.5,-0.0761837
10,0.362068,-0.00022101,0.0102178,0.0939505,1.5,-0.0823379
11,0.45277,-0.000313015,0.0176921,0.0705718,1.5,-0.0227623
12,0.553572,-0.000427659,0.0235588,0.0458328,1.5,-0.024607
13,0.664472,-0.000566946,0.0210858,0.0191732,1.5,-0.0492165
14,0.785473,-0.000732863,0.0149296,-0.0205523,1.5,-0.115792
15,0.916573,-0.00092848,0.0123904,-0.0392172,1.5,-0.116237
16,1.05777,-0.00115724,0.00546801,-0.0585026,1.5,-0.130781
17,1.20666,-0.00195559,0.0048774,-0.0788274,1.5,-0.136019
18,1.35674,-0.00437006,-0.0181025,-0.0748945,1.5,-0.32814
19,1.50573,-0.00969872,-0.0290794,-0.0509252,1.5,-0.323344
20,1.65566,-0.0194913,0.0118389,0.015539,1.5,-0.322542
21,1.80521,-0.0340284,0.0206082,0.0467317,1.5,0.0938703
22,1.95304,-0.0506443,0.0270472,0.0392644,1.5,0.131277
23,2.10213,-0.0660701,0.0253819,0.0170253,1.5,0.12137
24,2.25141,-0.0796589,0.0269418,0.00962305,1.5,0.106545
25,2.40085,-0.0915772,0.0279697,0.00289337,1.5,0.0939751
26,2.55041,-0.102023,0.0194789,-9.36028e-05,1.5,0.0764576
27,2.70007,-0.111211,0.0201657,-0.00715613,1.5,0.0681589
28,2.84979,-0.119337,0.0188834,-0.0105903,1.5,0.0660414
29,2.99957,-0.126484,0.0176792,-0.0063879,1.5,0.0670771
30,3.14939,-0.132661,0.00236745,-0.0199379,1.5,0.0601053
31,3.29925,-0.137905,0.00158601,-0.0119109,1.5,0.0637344
32,3.44913,-0.142248,0.000351027,-0.0055321,1.5,0.066809
33,3.59904,-0.145641,0.00473173,0.002463,1.5,0.0579593
34,3.74897,-0.148114,0.00518708,0.00287115,1.5,0.0491162
35,3.89892,-0.149794,0.0031052,0.00266993,1.5,0.0335585
36,4.04889,-0.150853,0.0143048,-0.000925447,1.5,0.0286682
37,4.19887,-0.15145,0.0171635,-0.00300803,1.5,0.0237251
38,4.34885,-0.151658,0.0293296,0.00592731,1.5,0.040576
39,4.49882,-0.151412,0.0294365,-0.00492666,1.5,0.0354054
40,4.64879,-0.150606,0.0129818,0.0312152,1.5,0.0506227
41,4.79874,-0.149181,0.0170609,0.0120215,1.5,0.00387817
42,4.9476,-0.147172,0.0179118,-0.00722563,1.5,-0.0063961
43,5.09758,-0.14495,0.0160699,-0.0170975,1.5,-0.0514599
44,5.24647,-0.142901,0.0129237,-0.0247811,1.5,-0.0572612
45,5.3965,-0.141345,0.0110488,-0.0288962,1.5,-0.0602703
