idx,car_position_x,car_position_y,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,4.47569e-05,1.3743e-07,-0.00263694,-0.244583,0,0
2,4.47911e-05,1.36989e-07,-0.00263694,-0.244583,0.2,-0.644784
3,4.47911e-05,1.36989e-07,-0.00263694,-0.244583,0.4,-0.644784
4,0.00609535,-4.52841e-05,-0.00406968,-0.230102,0.6,-0.644784
5,0.0221338,-0.000380081,-0.00765518,-0.213239,0.8,-0.604655
6,0.0482663,-0.00129149,-0.013036,-0.194529,0.8,-0.570363
7,0.0844708,-0.00306573,-0.0197713,-0.173969,0.8,-0.543655
8,0.186997,-0.0103393,-0.0353029,-0.127453,0.8,-0.524821
9,0.186997,-0.0103393,-0.0353029,-0.127453,0.8,-0.164302
10,0.253253,-0.0164067,-0.042982,-0.101667,0.8,-0.164302
11,0.408934,-0.0340913,0.0018157,-0.0744455,0.8,-0.124603
12,0.488247,-0.0448742,-0.00319317,-0.0482304,0.8,-0.11224
13,0.567468,-0.05661,-0.00617052,-0.023849,0.8,0.158598
14,0.567468,-0.05661,-0.00123617,-0.013492,0.8,0.206777
15,0.646418,-0.0683442,-0.00218805,-0.0137298,0.8,0.254663
16,0.725622,-0.0787811,-0.00341031,-0.0216468,0.8,0.226776
17,0.884773,-0.0941606,-0.0204576,-0.0503419,0.8,0.173377
18,0.884773,-0.0941606,-0.0204576,-0.0503419,0.8,-0.0281267
19,0.964367,-0.0992324,-0.019933,-0.0562283,0.8,-0.0281267
20,1.12401,-0.108535,-0.020413,-0.0316055,0.8,-0.0947451
21,1.12401,-0.108535,0.00523279,-0.0101678,0.8,-0.0513103
22,1.20389,-0.114109,0.00493032,0.00368987,0.8,0.061344
23,1.36336,-0.126486,0.0118274,0.00932985,0.8,0.101432
24,1.4431,-0.132085,0.0123921,0.00353231,0.8,0.151352
25,1.4431,-0.132085,0.0123921,0.00353231,0.8,0.151352
26,1.52289,-0.136713,0.00920241,-0.0124681,0.8,0.12722
27,1.68255,-0.142494,0.00569994,-0.0320304,0.8,0.0597998
28,1.76255,-0.143971,0.00297203,-0.0372316,0.8,-0.0284817
29,1.76255,-0.143971,0.00481357,-0.0362393,0.8,-0.0616206
30,1.92262,-0.146624,0.00158827,-0.0226623,0.8,-0.0616206
31,1.92262,-0.146624,-0.00225162,-0.0097543,0.8,-0.0368757
32,2.00265,-0.14859,-0.00273162,-0.00157582,0.8,-0.0267593
33,2.16262,-0.153581,-0.00553865,0.00895609,0.8,-0.00865885
34,2.16262,-0.153581,-0.00553865,0.00895609,0.8,0.064502
35,2.24258,-0.156355,-0.00471199,0.0117861,0.8,0.064502
36,2.32253,-0.159013,0.00092127,0.00508787,0.8,0.0717961
37,2.40245,-0.161249,0.00117882,0.000618285,0.8,0.062095
38,2.56232,-0.164142,0.000525918,-0.00911532,0.8,0.045138
39,2.64228,-0.164898,-0.00257042,-0.0135048,0.8,0.00568432
40,2.64228,-0.164898,-0.00257042,-0.0135048,0.8,-0.0278733
41,2.80233,-0.166007,-0.0103952,-0.0589507,0.8,-0.0278733
42,2.80233,-0.166007,-0.00945222,-0.053187,0.8,-0.17796
43,2.96248,-0.168203,-0.0165,-0.0284992,0.8,-0.157883
44,3.04257,-0.170761,-0.0180776,-0.00913931,0.8,-0.0575615
45,3.04257,-0.170761,-0.0180776,-0.00913931,0.8,-0.00865182
46,3.20242,-0.177818,-0.0161968,0.00172216,0.8,-0.00865182
47,3.28234,-0.181544,-0.0158843,0.0061738,0.8,0.00726194
48,3.28234,-0.181544,-0.0158843,0.0061738,0.8,0.0109868
49,3.36225,-0.185286,-0.014097,0.011723,0.8,0.0109868
50,3.44216,-0.188964,-0.0130661,0.0138968,0.8,0.0212174
51,3.52207,-0.192559,0.0042813,-0.00918828,0.8,0.0199351
52,3.68189,-0.199356,0.00323279,-0.00727387,0.8,0.0443734
53,3.7618,-0.20244,0.00268118,-0.00709065,0.8,0.0785605
54,3.8417,-0.205065,0.00202052,-0.0104215,0.8,0.0690981
55,3.8417,-0.205065,0.00803485,-0.00790186,0.8,0.0478711
56,3.92161,-0.207112,0.00733093,-0.0105653,0.8,0.0745335
57,4.08149,-0.20981,-0.018919,-0.0290082,0.8,0.0568462
58,4.08149,-0.20981,-0.0189038,-0.0252672,0.8,0.0241441
59,4.24142,-0.210668,-0.0219302,-0.0112729,0.8,0.0279355
60,4.3214,-0.210728,-0.0225481,-0.00414307,0.8,0.00404224
61,4.4014,-0.21065,-0.00275463,-0.0896281,0.8,-0.00502411
62,4.4814,-0.210569,-0.0110665,-0.0709224,0.8,0.0121312
63,4.4814,-0.210569,-0.0110665,-0.0709224,0.8,0.0177843
64,4.64138,-0.21025,-0.0199427,-0.0408471,0.8,0.0177843
65,4.72136,-0.209896,-0.0219165,-0.0258377,0.8,0.010068
66,4.80135,-0.209429,-0.0234877,-0.0134776,0.8,0.0109408
67,4.88134,-0.208875,-0.0241231,-0.00240318,0.8,0.00822234
68,4.96133,-0.20824,-0.00567719,0.0150802,0.8,0.00507909
69,4.96133,-0.20824,-0.00567719,0.0150802,0.8,0.00624403
70,5.04133,-0.207549,-0.00435306,0.0181462,0.8,0.00386717
71,5.20131,-0.206025,0.000800876,0.040689,0.8,0.00235907
72,5.20131,-0.206025,0.000800876,0.040689,0.8,0.00812167
73,5.28131,-0.205213,0.00399018,0.0389337,0.8,0.00812167
74,5.3613,-0.204358,0.0092925,0.0383597,0.8,-0.0106996
75,5.44128,-0.203436,0.012219,0.0348726,0.8,-0.000472016
76,5.52129,-0.20251,0.0149342,0.0326337,0.8,-0.0034037
77,5.60128,-0.201629,0.0173988,0.0288515,0.8,-0.000352318
78,5.76128,-0.199899,0.0670729,0.032351,0.8,-0.000319305
79,5.84127,-0.199039,0.0688581,0.0123629,0.8,-0.00496503
80,5.84127,-0.199039,0.0688581,0.0123629,0.8,-0.00553975
81,6.00127,-0.197385,0.0172794,0.228839,0.8,-0.00553975
82,6.08127,-0.196616,0.0341051,0.186018,0.8,-0.0344799
83,6.08127,-0.196616,0.0341051,0.186018,0.8,-0.0848967
84,6.24131,-0.195706,0.0540543,0.0972445,0.8,-0.0848967
85,6.24131,-0.195706,0.0540543,0.0972445,0.8,-0.0916965
86,6.32138,-0.195981,0.060355,0.0663285,0.8,-0.0916965
87,6.40144,-0.19694,0.0659759,0.0435507,0.8,-0.0701237
88,6.56153,-0.20093,0.0584995,-0.013075,0.8,-0.0254434
89,6.56153,-0.20093,0.0584995,-0.013075,0.8,0.0276736
90,6.64144,-0.203618,0.0583141,-0.0377799,0.8,0.0276736
91,6.72137,-0.206297,0.0154747,-0.0325709,0.8,0.0444726
92,6.88125,-0.210962,0.00513818,-0.0966143,0.8,-0.154304
93,6.88125,-0.210962,0.0100984,-0.095701,0.8,-0.872289
94,6.96134,-0.213545,0.00201424,-0.104737,0.8,-0.854301
95,7.04158,-0.218759,-0.00507244,-0.076379,0.8,-0.854513
96,7.19937,-0.245769,-0.00029907,0.0540897,0.8,-0.743072
97,7.27421,-0.267888,0.00950106,0.102062,0.8,-0.286448
98,7.34895,-0.293862,0.020007,0.11441,0.8,-0.0819387
99,7.34895,-0.293862,0.020007,0.11441,0.8,0.0273203
100,7.42389,-0.321775,0.0280726,0.100014,0.8,0.0273203
101,7.49871,-0.349988,-0.00266315,0.249218,0.8,0.0542243
102,7.64861,-0.405793,0.0292822,0.150018,0.8,-0.160315
103,7.64861,-0.405793,0.0300081,0.149508,0.8,0.0551137
104,7.72359,-0.433978,0.0418794,0.125054,0.8,0.0544842
105,7.79818,-0.4627,0.0500629,0.0836396,0.8,0.118508
106,7.94786,-0.518821,0.0568293,0.0071331,0.8,0.111398
107,8.02311,-0.545743,0.0534676,-0.0247032,0.8,0.0708468
108,8.09863,-0.571999,0.0503093,-0.0507732,0.8,0.0332719
109,8.09863,-0.571999,0.0503093,-0.0507732,0.8,0.0129537
110,8.25005,-0.623595,0.026835,-0.0858834,0.8,0.0129537
111,8.32582,-0.649235,0.0416283,0.345481,0.8,-0.060814
112,8.40161,-0.67466,-0.0314829,-0.111426,0.8,0.0255619
113,8.40161,-0.67466,-0.0314829,-0.111426,0.8,0.569496
114,8.55394,-0.72354,-0.0630248,-0.0910264,0.8,0.569496
115,8.63133,-0.743794,-0.074258,-0.112143,0.8,0.483145
116,8.63133,-0.743794,-0.074258,-0.112143,0.8,0.342077
117,8.7097,-0.760308,-0.0922315,-0.121029,0.8,0.342077
118,8.86789,-0.784795,-0.113363,-0.111242,0.8,0.191627
119,8.94741,-0.793826,-0.122138,-0.0923276,0.8,-0.00157921
120,8.94741,-0.793826,-0.0120123,-0.570579,0.8,-0.0662338
121,9.10644,-0.810579,-0.0980586,-0.4065,0.8,-0.0892067
122,9.18594,-0.819613,-0.128783,-0.313613,0.8,0.197643
123,9.26529,-0.828298,-0.185025,-0.297852,0.8,0.239309
124,9.26529,-0.828298,-0.185025,-0.297852,0.8,0.195665
