idx,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,-0.00153659,0.227925,0,0
2,-0.0015366,0.227925,0.100001,-0.999118
3,-0.00142531,0.193431,0.100001,-1.13665
4,-0.00142159,0.127112,0.102887,-0.999871
5,-0.00177583,0.0385225,0.119233,-0.662076
6,0.0106073,-0.0477845,0.157836,-0.179777
7,0.0108609,-0.105239,0.196281,0.321868
8,0.0115927,-0.137627,0.192801,0.616443
9,0.0124079,-0.135141,0.221066,0.78674
10,0.0130208,-0.100005,0.218647,0.787493
11,0.011752,-0.0797153,0.226337,0.63258
12,0.0115128,-0.00815226,0.265601,0.49682
13,0.0105035,0.0330212,0.318625,0.169684
14,0.00823868,0.0686968,0.273336,-0.0127321
15,0.0048326,0.0849026,0.362422,-0.146668
16,0.00185464,0.0839717,0.420222,-0.186932
17,-0.00198076,0.110273,0.373319,-0.197454
18,-0.0060214,0.105366,0.435417,-0.295817
19,0.000163777,0.0785549,0.435116,-0.257788
20,-0.00276232,0.0661641,0.471526,-0.0713292
21,0.00958802,-0.00183791,0.498239,-0.0225527
22,0.00779448,-0.00432445,0.571646,0.180616
23,0.00649529,-0.00659542,0.598163,0.162508
24,0.00736925,0.00662233,0.598416,0.196166
25,0.0056756,0.0226848,0.655684,0.157957
26,0.00336366,0.0384701,0.69732,0.113657
27,0.000575416,0.0500223,0.755007,0.0772402
28,0.00291079,0.0539494,0.796982,0.0574671
29,0.000143101,0.0597784,0.854804,0.0994565
30,-0.00258433,0.0694604,0.896806,0.0818057
31,-0.0061294,0.0845411,0.954219,0.0734298
32,0.00848089,-0.0153013,0.996508,0.0135037
33,0.00913553,-0.0103162,0.996156,0.144368
34,0.00963732,-0.00896392,1.08804,0.0607361
35,0.00736509,0.00637179,1.09641,0.110011
36,0.00597376,0.0185098,1.08668,-0.00981858
37,0.00781159,0.0173976,1.17166,-0.0114684
38,0.00612192,0.016277,1.1872,0.0150354
39,0.00377472,0.0210579,1.27173,0.00976101
40,0.00218528,0.00853583,1.28708,-0.0183599
41,-0.011146,0.0225138,1.33097,0.00960835
42,-0.0140529,0.0235338,1.35898,-0.153859
43,-0.0204882,0.0128078,1.38121,-0.0584167
44,-0.0216444,0.0068814,1.40658,-0.0681645
45,-0.0162268,-0.0109774,1.41893,-0.0146709
46,-0.0137864,-0.0128079,1.42547,0.111177
47,-0.0107851,-0.0165427,1.44031,0.0708221
48,-0.0057263,-0.0048906,1.43645,0.151663
49,-0.00708674,0.00549838,1.4473,0.105019
50,-0.00736801,0.00572839,1.46698,0.0773446
51,-0.00700469,0.000594871,1.46014,0.047583
52,-0.0111993,0.0108257,1.47362,0.0437887
53,-0.0121956,0.012871,1.47353,0.0082175
54,-0.00863104,0.00972733,1.48014,0.0393929
55,-0.00815013,0.0134954,1.48385,0.0768751
56,-0.00764761,0.0209217,1.48494,0.0463681
57,-0.00958714,0.0277646,1.48933,0.0321522
58,-0.0124213,0.0230424,1.48948,-0.00632094
59,-0.0122753,0.0236423,1.49226,-0.0169015
60,-0.0151178,0.0173346,1.48597,-0.0133168
61,-0.00169074,0.0142512,1.49012,-0.0193191
62,-0.00963571,0.0110379,1.49065,-0.065353
63,-0.0148699,0.00321255,1.48765,-0.0154035
64,-0.0153001,0.00160598,1.48946,-0.0198321
65,-0.0118896,-0.000334002,1.48405,-0.0470211
66,-0.00418713,-0.00554455,1.48113,-0.0784865
67,0.00464954,-0.0198605,1.47669,-0.108774
68,0.0150403,-0.030394,1.47076,-0.199277
69,0.0289472,-0.0451471,1.46671,-0.210545
70,0.0415722,-0.0627925,1.46942,-0.286917
71,0.0562006,-0.0816797,1.46785,-0.289652
72,0.0745896,-0.136518,1.47528,-0.352638
73,0.0959682,-0.168866,1.49423,-0.283545
74,0.110511,-0.202685,1.47846,-0.290111
75,0.117036,-0.217922,1.49163,-0.183116
76,0.116023,-0.23555,1.49403,-0.266818
77,0.103527,-0.250101,1.50109,-0.171483
78,0.0900683,-0.214384,1.49593,-0.208943
79,0.0767866,-0.23401,1.49609,-0.0686386
80,0.0573199,-0.18781,1.49765,-0.00296644
81,-0.0259792,0.100565,1.48803,0.0712751
82,-0.0246822,0.106034,1.46869,0.154874
83,-0.02827,0.119028,1.4692,0.166125
84,-0.0352986,0.135291,1.44672,0.207246
85,-0.0503786,0.152859,1.44584,0.22709
86,-0.0602007,0.171711,1.43897,0.255231
87,-0.0700577,0.193587,1.42402,0.324786
88,-0.0691495,0.215579,1.40753,0.334661
89,-0.0671931,0.196743,1.38104,0.339387
90,-0.0709189,0.154403,1.35693,0.227466
91,-0.0468133,0.0795322,1.35932,0.316313
92,-0.125531,0.0975882,1.45723,1.09576
93,-0.171352,0.135134,1.38173,1.11549
