idx,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,0.0191907,-0.0247063,0,0
2,0.00375889,-0.0920707,0.100001,0.167372
3,0.00458565,-0.0841506,0.100001,0.403555
4,0.00534152,-0.0471479,0.176375,0.363616
5,0.006165,-0.0107731,0.191277,0.183132
6,0.00651859,0.00829682,0.274844,-0.0301988
7,0.00659221,0.0136682,0.291175,-0.124252
8,0.00664062,0.00233412,0.353711,-0.165231
9,0.00700195,-0.0139827,0.391291,-0.121811
10,0.00775337,-0.025916,0.453682,-0.0691716
11,0.00413887,0.00347424,0.491677,-0.0369005
12,0.00502851,-0.000351487,0.553866,-0.0903331
13,0.034965,-0.00261044,0.591718,-0.0723978
14,0.0356844,-0.00989615,0.654456,0.038277
15,0.0362267,-0.00669831,0.691976,0.0241677
16,0.0361359,-0.00422703,0.753879,-0.0128059
17,0.03354,0.00255418,0.791913,-0.0355434
18,0.0318326,-0.000876519,0.854073,-0.102092
19,0.029933,-0.0106801,0.892156,-0.0829893
20,0.0231525,-0.0269064,0.954768,-0.0675147
21,0.015132,0.00985635,0.992457,-0.0296221
22,0.0161454,0.00673673,1.05501,-0.0238867
23,0.0104624,0.00558936,1.09245,-0.0236054
24,0.010348,0.00324413,1.15509,-0.0640125
25,0.00992155,-0.00290956,1.19255,-0.0392025
26,0.010248,-0.0162265,1.25552,-0.0263849
27,0.0104477,-0.0189402,1.29263,0.049739
28,0.00548126,-0.00794394,1.33043,0.0269609
29,0.00322057,-0.00516622,1.36086,-0.0400161
30,-0.0034553,0.010527,1.38196,-0.00371801
31,-0.0115229,-0.000418896,1.40539,-0.0463949
32,-0.0157811,-0.00718398,1.42038,0.023549
33,-0.0163243,-0.00503483,1.43468,0.0318613
34,-0.0119639,-0.0141111,1.44653,0.0278191
35,-0.00931261,-0.0115402,1.44773,0.120072
36,-0.00598792,-0.0101834,1.45932,0.0584635
37,0.00556796,-0.00687917,1.4546,0.10086
38,0.00862143,0.00419303,1.46182,0.0947101
39,0.0126536,0.0136042,1.47505,0.0239182
40,0.0143298,0.0173374,1.46858,0.0449976
41,0.00991996,0.0726955,1.48177,-0.00211973
42,0.0017409,0.0726388,1.48084,-0.167569
43,-0.00402848,0.0610208,1.48415,-0.0711106
44,-0.0152373,0.0585405,1.47884,-0.0681237
45,-0.0192589,0.05191,1.48192,-0.0853619
46,-0.0247234,0.0469148,1.49081,-0.0242965
47,-0.0260623,0.0444525,1.48523,-0.0301126
48,-0.024069,-0.014107,1.49378,0.010319
49,-0.0242105,-0.00806171,1.49055,0.0280813
50,-0.0290762,-0.000221256,1.49173,0.0949563
51,0.00796814,0.0424518,1.48462,0.211855
52,0.0271306,0.0627193,1.38508,-0.227042
53,0.00769008,0.0582017,1.38288,-0.146398
54,-0.0233415,0.0441769,1.34559,0.383366
55,-0.0675732,0.0283209,1.33189,0.851603
56,-0.0943724,0.0482822,1.30428,1.25
57,-0.109217,0.100628,1.28124,1.25
58,-0.096196,0.183135,1.28817,1.25
59,-0.0560834,0.276763,1.27123,1.25
60,0.0302476,0.365774,1.22874,1.25
61,0.0606605,-0.0256873,1.15681,1.25
62,0.108385,0.10065,1.1572,1.25
63,0.179723,0.208929,1.12198,1.25
64,0.237238,0.318624,1.15013,1.25
65,0.268357,0.433292,1.1778,1.25
66,0.304966,0.546094,1.25017,1.25
67,0.323895,0.660762,1.27781,1.25
68,0.338517,0.772101,1.35011,1.25
69,0.351797,0.674399,1.38059,1.25
70,0.368359,0.551624,1.4364,1.25
71,0.136702,-0.285133,1.43965,1.25
72,0.165262,-0.167498,1.4312,0.210782
73,0.174815,-0.0847278,1.47367,0.0241782
74,0.168141,-0.0343642,1.45273,-0.562373
75,0.147212,-0.0170214,1.4612,-0.708479
76,0.119956,-0.0317606,1.45557,-0.970509
77,0.0875373,-0.085512,1.45944,-0.925902
78,0.0595536,-0.173563,1.45925,-0.803522
79,0.0395134,-0.209638,1.46938,-0.439334
80,0.0237771,-0.149115,1.47761,-0.337961
81,-0.0427209,0.176716,1.4677,-0.230293
82,-0.0617845,0.155274,1.47817,-0.580607
83,-0.0752208,0.103334,1.48178,-0.234146
84,-0.0793169,0.0801284,1.47885,-0.123423
85,-0.0798248,0.0703981,1.48945,-0.00305763
86,-0.0807062,0.0714772,1.48691,0.0314078
87,-0.0765095,0.0743515,1.49009,0.0467686
88,-0.0708544,0.0387873,1.49269,0.0793961
89,-0.0635685,0.0173668,1.49031,0.0906961
90,-0.0563158,7.4784e-05,1.49343,0.122836
91,-0.0172626,0.0371876,1.49177,0.127735
92,-0.0151839,0.0486084,1.49481,-0.122778
93,-0.017351,0.0250981,1.49312,0.0113082
94,-0.00980745,0.0218075,1.49533,0.103455
95,-0.00434749,0.028815,1.49512,0.140914
96,-0.00426712,0.0427421,1.49484,0.139368
97,-0.0121042,0.061681,1.496,0.093386
98,-0.0135643,0.0485415,1.49473,0.00650851
99,-0.0211366,0.0445798,1.49526,0.0362953
100,-0.0239025,0.0277291,1.49661,-0.0361851
101,0.00517829,0.0257888,1.49561,-0.0150068
102,0.0137379,0.0240973,1.4761,0.0480146
103,0.0174472,0.0275112,1.48037,0.0627427
104,0.0152453,0.0323767,1.46027,0.111723
105,0.00529797,0.0432013,1.45502,0.157051
106,-0.0083635,0.0573534,1.44232,0.179079
107,-0.0251786,0.0745572,1.42649,0.232598
108,-0.0430961,0.0918816,1.41912,0.27214
109,-0.0616266,0.118371,1.39764,0.331012
110,-0.0843161,0.148454,1.37068,0.372652
111,0.024617,0.185348,1.34126,0.384753
112,0.0174999,0.199816,1.36861,0.234182
113,-0.0238414,0.220562,1.30625,0.727756
114,-0.0746212,0.242189,1.28513,1.15822
115,-0.108356,0.292521,1.2685,1.25
116,-0.113594,0.380299,1.26847,1.25
117,-0.0892468,0.490598,1.25424,1.25
118,-0.0622511,0.618721,1.21425,1.25
119,-0.0394407,0.709349,1.15125,1.25
120,-0.020311,0.750115,1.17747,1.25
121,0.0349542,-0.312308,1.25252,1.25
122,0.0638934,-0.199166,1.28034,1.25
123,0.0844322,-0.0845595,1.31827,1.25
124,0.0985001,0.0274526,1.35188,1.25
125,0.104733,0.142212,1.37644,1.25
126,0.105431,0.255121,1.39979,0.805982
127,0.0947895,0.338361,1.42037,0.453373
128,0.0827,0.391107,1.42557,0.140824
129,0.0637286,0.439475,1.43141,-0.0405865
130,0.0500558,0.346273,1.44117,-0.175049
131,0.0103968,0.0118857,1.44928,-0.171758
132,0.00501841,-0.00376438,1.45934,-0.179441
133,0.000506968,-0.0204371,1.46721,-0.133879
134,0.000873019,-0.0335691,1.47214,-0.112251
135,-0.000717411,-0.0426915,1.47837,-0.074491
136,0.00105484,-0.0500103,1.4812,-0.0853612
137,0.00348617,-0.0605887,1.48502,-0.0578149
138,0.00660054,-0.0701142,1.48741,-0.0322969
139,0.00531011,-0.0515315,1.48939,-0.0323495
140,0.00669468,-0.0343938,1.49165,-0.0184413
141,-0.00544569,-0.0265599,1.49293,0.0774978
142,-0.00167386,-0.0332951,1.49436,0.0138164
143,0.00129976,-0.0323818,1.47133,0.120614
144,0.000803911,-0.0182623,1.48237,0.0606163
145,0.00103116,-0.00647954,1.49175,0.00517571
146,0.000763433,-0.0159391,1.47462,-0.0357703
147,0.00181177,-0.0197795,1.50533,0.0502718
148,0.000492278,0.0131064,1.49313,0.0206212
