idx,car_position_x,car_position_y,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,1.6264e-07,-4.62438e-05,0.00368448,0.0567915,0,0
2,1.62433e-07,-4.62608e-05,0.00368448,0.0567915,0.2,0.22563
3,5.9252e-06,-0.00994793,0.00424656,0.056448,0.4,0.22563
4,1.68767e-05,-0.029949,0.00537035,0.0557039,0.6,0.229075
5,3.17121e-05,-0.0600508,0.00703254,0.0545464,0.8,0.236146
6,4.92767e-05,-0.100253,0.00919765,0.0529932,1,0.247437
7,6.86485e-05,-0.150555,0.0118187,0.051063,1.2,0.264165
8,8.9181e-05,-0.210959,0.0145978,0.046346,1.4,0.0891506
9,0.000109229,-0.281461,0.0177916,0.0441382,1.5,0.0938626
10,0.000126894,-0.362062,0.0195046,0.0556112,1.5,0.143149
11,0.0001401,-0.452763,0.0244025,0.0522188,1.5,0.290466
12,0.000145906,-0.553563,0.0294907,0.0485767,1.5,0.148164
13,0.000141687,-0.664464,0.0516388,0.0464599,1.5,0.22355
14,0.00012192,-0.785464,0.0603335,0.0391516,1.5,0.248925
15,8.40495e-05,-0.916565,0.0652156,0.0352364,1.5,0.282979
16,2.52911e-05,-1.05777,0.0612457,0.0327655,1.5,0.332925
17,0.00197905,-1.20725,0.0634035,-0.00235862,1.5,0.226794
18,0.00589943,-1.34886,0.0634472,-0.00182777,1.5,0.147045
19,0.00948448,-1.49608,0.058314,-0.0140713,1.5,0.175056
20,0.014651,-1.64584,0.0268057,0.0409848,1.5,0.136893
21,0.0221369,-1.79554,0.0285894,0.00661272,1.5,0.027657
22,0.0303029,-1.94278,0.0290905,0.00109799,1.5,-0.0107759
23,0.0380974,-2.09256,0.0286201,-0.0112787,1.5,0.00500776
24,0.0458241,-2.24236,0.0262128,-0.0207766,1.5,0.00822861
25,0.053651,-2.39215,0.021777,-0.0305533,1.5,-0.108508
26,0.0607423,-2.54206,0.019604,-0.0278616,1.5,-0.126943
27,0.0659736,-2.69207,0.0238169,-0.0249257,1.5,-0.10898
28,0.0694624,-2.84211,0.0377517,-0.0270328,1.5,-0.0760698
29,0.0715634,-2.99216,0.0333598,-0.030526,1.5,-0.0282244
30,0.0725007,-3.14218,0.0291495,0.164229,1.5,-0.00619753
31,0.0726883,-3.29216,0.0491473,0.10173,1.5,-0.000692082
32,0.0727978,-3.44216,0.120858,0.0792161,1.5,0.00253055
33,0.0729213,-3.59216,0.194635,0.0185945,1.5,0.00617235
34,0.073108,-3.74215,0.188261,-0.10072,1.5,0.00558922
35,0.0733856,-3.89215,0.174444,-0.180781,1.5,-0.00774946
36,0.073666,-4.04215,0.17033,-0.231282,1.5,-0.00342256
37,0.073866,-4.19216,0.177299,-0.273895,1.5,-0.00317988
38,0.0740217,-4.34216,0.178358,-0.33386,1.5,-0.00246662
39,0.07414,-4.49216,0.194441,-0.36802,1.5,-0.00356193
40,0.0742198,-4.64216,0.116847,0.979255,1.5,-0.00507582
41,0.0742426,-4.79217,0.282149,0.636294,1.5,0.0027858
42,0.0742438,-4.94217,0.347902,0.0635223,1.5,-0.0212228
43,0.074133,-5.09218,0.43144,-0.45829,1.5,-0.0165073
44,0.0737492,-5.2422,0.296536,-0.775715,1.5,-0.0122624
45,0.0731495,-5.3922,0.127382,-0.878126,1.5,-0.00863496
46,0.0723897,-5.54221,0.0305725,-0.937524,1.5,0.483248
47,0.0737786,-5.69199,-0.0718686,-1.0092,1.5,0.651201
48,0.0823846,-5.84209,-0.0885738,-0.791461,1.5,0.879819
49,0.101429,-5.99053,-0.0903769,-0.459415,1.5,1.09194
50,0.133667,-6.13694,-0.125851,-0.406749,1.5,1.24628
51,0.181303,-6.27898,-0.105721,0.0569158,1.5,1.73467
52,0.247372,-6.41348,0.000350786,0.225896,1.5,1.78926
53,0.333346,-6.53378,0.0874497,0.204779,1.5,1.79692
54,0.440512,-6.63972,0.155472,0.0954408,1.5,1.78871
55,0.563123,-6.72585,0.195847,-0.00968502,1.5,1.89372
56,0.696976,-6.79005,0.205474,-0.133238,1.5,1.67832
57,0.840694,-6.83246,0.209692,-0.223477,1.5,1.42215
58,0.989035,-6.85396,0.204754,-0.250691,1.5,1.14136
59,1.13892,-6.85781,0.187635,-0.240045,1.5,0.691043
60,1.28859,-6.8483,0.173234,0.0341344,1.5,0.196376
61,1.4372,-6.83056,0.173726,-0.0299104,1.5,0.759404
62,1.58448,-6.8045,0.174409,-0.107931,1.5,0.158506
63,1.7303,-6.76961,0.154118,-0.179095,1.5,-0.0851814
64,1.87549,-6.73102,0.127745,-0.211684,1.5,-0.248251
65,2.02099,-6.69352,0.0943123,-0.214846,1.5,-0.305296
66,2.16732,-6.65991,0.0525833,-0.204176,1.5,-0.636591
67,2.3148,-6.633,0.0213686,-0.15473,1.5,-0.611262
68,2.46366,-6.61463,0.00232042,-0.0968831,1.5,-0.562383
69,2.6132,-6.60459,-0.00874225,-0.0544441,1.5,-0.483586
70,2.76317,-6.60199,-0.00622438,-0.0987192,1.5,-0.39375
71,2.91312,-6.60547,-0.0170792,-0.0465391,1.5,-0.144392
72,3.063,-6.61271,-0.0191241,-0.0103883,1.5,-0.0484486
73,3.21279,-6.62135,-0.0151012,0.00379079,1.5,-0.00511192
74,3.3625,-6.63043,-0.0139579,0.0114171,1.5,0.0361393
75,3.51217,-6.63932,-0.00437226,0.0149503,1.5,0.0469403
76,3.66187,-6.64764,-0.00229425,0.0122628,1.5,0.158488
77,3.81162,-6.65465,0.00145589,0.00586431,1.5,0.160567
78,3.96141,-6.65941,-0.00155652,-0.00851121,1.5,0.0697362
79,4.11141,-6.66244,0.00501445,-0.0125006,1.5,-0.0619539
80,4.26144,-6.66532,-0.0204541,0.0549992,1.5,-0.115154
81,4.41145,-6.66943,-0.0133799,0.0373929,1.5,-0.146694
82,4.56145,-6.67543,0.036484,0.114412,1.5,-0.129047
83,4.71134,-6.68347,0.0482951,0.0583371,1.5,-0.0982771
