idx,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,0.00330445,0.300409,0,0
2,0.00330445,0.300409,0.0499972,-1
3,0.00330445,0.300409,0.0499972,-1
4,0.00349999,0.253221,0.0499972,-1
5,0.00410738,0.174054,0.0526141,-1
6,0.00290688,0.0833993,0.108204,-1
7,-0.0154535,-0.013414,0.127839,-0.927234
8,-0.0140872,-0.0901284,0.131777,-0.319261
9,-0.0244452,-0.174999,0.189621,0.458947
10,-0.0222775,-0.211815,0.241727,1
11,-0.0200912,-0.23638,0.239601,1
12,-0.0173551,-0.190278,0.245895,1
13,-0.0202145,-0.104797,0.28734,1
14,-0.0194556,-0.0142382,0.400024,0.750524
15,-0.0204011,0.0381321,0.404071,0.175076
16,-0.02958,0.0645472,0.34288,-0.180139
17,-0.0335622,0.0817605,0.445564,-0.366912
18,-0.0370977,0.0740483,0.51111,-0.462245
19,-0.0372219,0.0359379,0.517542,-0.402684
20,-0.0366135,0.0171947,0.577907,-0.00622187
21,0.0205145,-0.157311,0.687721,0.241145
22,0.0302227,-0.172346,0.708398,1
23,0.0402918,-0.204037,0.775946,1
24,0.0548216,-0.159463,0.8,1
25,0.062766,-0.094858,0.8,1
26,0.0701124,-0.036191,0.8,1
27,0.0731461,0.0541682,0.8,0.695588
28,0.0645447,0.144986,0.8,0.194185
29,0.0593935,0.201439,0.8,-0.259615
30,0.0378318,0.233371,0.8,-0.462052
31,-0.00610966,0.0861245,0.8,-0.594907
32,-0.0121962,0.0444615,0.8,-0.390169
33,-0.0132539,-0.00946236,0.8,-0.246211
34,-0.0106101,-0.0462751,0.8,0.089837
35,-0.00368487,-0.0688221,0.8,0.185178
36,0.000470304,-0.0585448,0.8,0.359553
37,0.00592415,-0.0418785,0.8,0.179347
38,0.00523447,-0.00806071,0.8,0.192399
39,0.00416806,0.00855661,0.8,-0.120322
40,4.37815e-05,0.0298813,0.8,-0.0714911
41,-0.0160744,0.0376914,0.8,-0.293745
42,-0.0230367,0.0331465,0.8,-0.146541
43,-0.0246723,0.00682169,0.8,-0.238104
44,-0.0234843,-0.00687752,0.8,0.0526236
45,-0.0221732,-0.0280286,0.8,0.00860024
46,-0.0171714,-0.0242788,0.8,0.240139
47,-0.0142796,-0.0237239,0.8,0.113124
48,-0.0105061,0.00119691,0.8,0.221874
49,-0.01019,0.00545507,0.8,-0.0197396
50,-0.00963803,0.0224206,0.8,0.0468032
51,-0.0153552,0.00850674,0.8,-0.159281
52,-0.0169086,0.0126845,0.8,-0.0774442
53,-0.0186282,0.00042025,0.8,-0.168822
54,-0.0180741,-0.00666761,0.8,-0.00168562
55,-0.0160802,-0.0219454,0.8,-0.0375729
56,-0.0164745,-0.0230659,0.8,0.14177
57,-0.0130485,-0.0265948,0.8,0.0304255
58,-0.0089905,-0.0115609,0.8,0.169735
59,-0.00529138,-0.0335065,0.8,-0.00743095
60,-0.00457169,-0.0100295,0.8,0.112938
61,0.00640105,-0.0176942,0.8,-0.0676047
62,0.00344408,-0.00849966,0.8,0.124261
63,-0.00179034,-0.0144916,0.8,-0.023585
64,-0.00687112,-0.000287031,0.8,0.140041
65,-0.00824102,-0.00219041,0.8,-0.102568
66,-0.00845725,0.0102363,0.8,0.0542189
67,-0.00453441,0.000484937,0.8,-0.195202
68,-0.00114968,-0.0172539,0.8,-0.0144334
69,-0.00313019,-0.0082347,0.8,-0.0643966
70,0.00131539,-0.00369142,0.8,0.00923144
71,0.0189653,-0.0441031,0.8,-0.13374
72,0.0390081,-0.0388753,0.8,-0.185537
73,0.0557775,-0.0509919,0.8,-0.45961
74,0.0618046,-0.067829,0.8,-0.383597
75,0.0581219,-0.0995803,0.8,-0.585547
76,0.0559551,-0.134649,0.8,-0.551419
77,0.0532079,-0.189464,0.8,-0.546371
78,0.0570608,-0.24176,0.8,-0.316747
79,0.0594254,-0.26736,0.8,-0.147488
80,0.0541608,-0.277647,0.8,0.00282279
81,0.0176784,-0.0785783,0.8,-0.0588465
82,0.0126775,-0.0817592,0.8,-0.0716585
83,0.00748268,-0.0871475,0.8,-0.0255871
84,-0.0042053,-0.0884397,0.8,0.0224507
85,-0.00923896,-0.0909132,0.8,0.0103623
86,-0.0138746,-0.0889257,0.8,0.128893
87,-0.0105603,-0.0902085,0.8,0.155222
88,-0.0134321,-0.084716,0.8,0.366873
89,-0.0293667,0.0559477,0.8,0.3694
90,-0.0402447,0.184626,0.8,0.399464
91,-0.0140516,0.0398514,0.8,0.317602
92,-0.0129897,0.0760537,0.8,0.353005
93,-0.0143253,0.102059,0.8,0.176311
94,-0.0177287,0.134057,0.8,0.219259
95,-0.0217195,0.150315,0.8,0.0748504
96,-0.0213794,0.164402,0.8,0.172942
97,-0.0240755,0.16754,0.8,0.202896
