idx,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,0.00247424,-0.00934047,0,0
2,0.00247424,-0.0093404,0.0499972,0.058899
3,0.00247424,-0.0093404,0.0499972,0.0874983
4,0.00242775,-0.0075394,0.0499972,0.101632
5,0.00246551,0.000372736,0.125682,0.0851191
6,0.00241669,0.00958259,0.121514,0.0290147
7,0.00239861,0.00806361,0.121217,-0.0521774
8,0.00221022,0.0103013,0.238094,-0.0754449
9,0.00202369,0.00718743,0.22536,-0.0976492
10,0.00202614,0.0019456,0.234581,-0.0846583
11,-0.00803317,0.0183389,0.384385,-0.0451172
12,-0.00530848,0.0107228,0.378332,-0.0850848
13,-0.00310593,-0.00117915,0.394853,-0.0424083
14,0.00109887,-0.00731049,0.461361,0.0318128
15,0.00455368,-0.00736789,0.53246,0.0568615
16,0.00854165,-0.0144009,0.544057,0.0346989
17,0.0116689,-0.0226896,0.603231,0.0509869
18,0.0150207,-0.0194863,0.73069,0.0326468
19,0.00165508,-0.0342812,0.745565,-0.0497839
20,0.00411357,-0.049932,0.8,-0.154843
21,0.00545355,-0.105794,0.8,-0.162367
22,0.014792,-0.0955778,0.8,0.660776
23,0.0243075,-0.110387,0.8,0.114393
24,0.0387268,-0.0812669,0.8,0.638463
25,0.042468,-0.070092,0.8,0.131198
26,0.0392243,-0.0155911,0.8,0.379192
27,0.0334962,-0.000878877,0.8,-0.28859
28,0.0241414,0.031658,0.8,-0.0286199
29,0.0130601,0.0393402,0.8,-0.548582
30,0.00384187,0.0528781,0.8,-0.213764
31,0.00205768,0.0312534,0.8,-0.561126
32,0.00303025,0.0106069,0.8,0.0584224
33,0.00829067,-0.0394673,0.8,-0.231018
34,0.014149,-0.0432074,0.8,0.38074
35,0.0207847,-0.0605627,0.8,0.0106542
36,0.0252972,-0.0342884,0.8,0.416266
37,0.0199807,-0.0304632,0.8,-0.0712021
38,0.013702,0.00165222,0.8,0.134815
39,0.00489824,0.00298631,0.8,-0.361687
40,0.00505895,-0.00454395,0.8,-0.127002
41,0.00481786,-0.0648973,0.8,-0.206735
42,0.0105899,-0.0790318,0.8,0.47911
43,0.0186098,-0.0978764,0.8,0.174941
44,0.0277562,-0.0728772,0.8,0.592293
45,0.031407,-0.0567094,0.8,0.183809
46,0.0274191,-0.00617383,0.8,0.358748
47,0.0221652,0.0123629,0.8,-0.193019
