idx,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,0.0044649,0.184099,0,0
2,0.0044649,0.184099,0.0499972,-1
3,0.0044649,0.184099,0.0499972,-1
4,0.00449023,0.136911,0.0499972,-1
5,0.00538141,0.0577441,0.0526141,-1
6,-0.0016966,-0.0401402,0.108204,-0.800696
7,0.000297532,-0.103259,0.127807,-0.0891732
8,0.00116341,-0.125984,0.192969,0.618657
9,0.00238484,-0.134513,0.203676,0.977508
10,0.00353081,-0.10597,0.238303,1
11,-0.00198639,-0.0378371,0.198979,0.985738
12,-0.00468398,0.0474496,0.288989,0.377286
13,-0.0107934,0.10295,0.332606,-0.302696
14,-0.0173081,0.119477,0.399443,-0.749966
15,-0.0242924,0.108129,0.411631,-0.896275
16,-0.0283497,0.0799475,0.437855,-0.829883
17,-0.0311365,0.0222863,0.48741,-0.601605
18,-0.0307019,-0.0256704,0.55166,-0.116681
19,-0.0269586,-0.0568018,0.667694,0.335001
20,-0.0219185,-0.0957145,0.72108,0.636995
21,0.00171148,-0.223267,0.8,1
22,0.0240429,-0.213042,0.732099,1
23,0.0436693,-0.155714,0.8,1
24,0.0551434,-0.10369,0.8,1
25,0.0649035,-0.0133878,0.8,1
26,0.0624839,0.0784996,0.8,0.422628
27,0.0531435,0.169191,0.8,0.0226327
28,0.0340081,0.189166,0.8,-0.550731
29,0.0206605,0.196224,0.8,-0.528831
30,0.00573511,0.151628,0.8,-0.662622
31,-0.00538227,0.043439,0.8,-0.308725
32,-0.0073218,-0.0167345,0.8,-0.0501718
33,-0.00461932,-0.0343007,0.8,0.317337
34,-0.000524653,-0.00753004,0.8,0.281652
35,0.00603143,0.0179875,0.8,0.138489
36,0.00578844,0.0339137,0.8,0.089929
37,0.00571106,0.0461517,0.8,0.00123331
38,0.00409236,0.046315,0.8,-0.0317881
39,-0.000217674,0.0430138,0.8,-0.0183188
40,-0.000302015,0.0298539,0.8,-0.0144153
41,0.00679736,-0.0035297,0.8,0.00152203
42,0.00888426,-0.00308817,0.8,-0.00592844
