idx,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,0.0121717,0.00738647,0,0
2,0.00215112,-0.0322401,0.0499972,-0.029667
3,0.00250259,-0.0360221,0.0499972,0.182229
4,0.00279871,-0.0200357,0.126217,0.287985
5,0.0010769,-0.00855789,0.121022,0.231534
6,0.00122279,0.0121957,0.236847,0.0745828
7,-0.00170122,0.0242045,0.224233,-0.096655
8,-0.00230994,0.0139591,0.12552,-0.220836
9,-0.00376114,0.0057928,0.385627,-0.205968
10,-0.00073681,-0.00681571,0.395234,-0.166108
11,0.00219777,-0.0248329,0.0526748,-0.0567279
12,0.00678732,-0.0443491,0.468679,0.0753996
13,0.00770153,-0.059509,0.513652,0.204911
14,0.0126343,-0.113616,0.452653,0.306949
15,0.0182333,-0.0946787,0.459947,0.704141
16,0.0152473,-0.0399996,0.613087,0.507673
17,0.00838809,0.0257432,0.617945,0.132304
18,0.00110768,0.0545688,0.646946,-0.400974
19,-0.00784291,0.0415347,0.8,-0.63654
20,-0.00180297,0.0189192,0.8,-0.522329
21,-0.0080411,-0.00966659,0.8,-0.279017
22,-0.00406378,0.0292551,0.8,-0.148449
23,-0.0144037,0.0261556,0.8,-0.0702055
24,-0.0162489,0.0197472,0.8,-0.162457
25,-0.0152642,0.00418957,0.8,-0.0462948
26,-0.0137638,-9.83262e-05,0.8,0.036109
27,-0.0181731,0.00578097,0.8,0.0404269
28,-0.0167122,0.00928534,0.8,-0.0452682
29,-0.018505,0.00128672,0.8,-0.00411023
30,-0.0159472,0.000851628,0.8,0.0218733
31,-0.0318775,0.0447084,0.8,0.0273829
32,-0.036471,0.0471091,0.8,-0.338566
33,-0.0378118,0.011502,0.8,-0.105466
34,-0.0354892,0.00205681,0.8,0.075215
35,-0.0308237,0.00840723,0.8,0.0876943
36,-0.0291107,0.017565,0.8,0.070371
37,-0.024728,0.0239267,0.8,0.0103891
38,-0.0211489,0.0240248,0.8,0.0104806
39,-0.0164537,0.0248581,0.8,0.00244744
40,-0.011343,0.000275656,0.8,-0.0108606
41,-0.00626071,-0.00708371,0.8,0.152178
42,0.00108761,-0.0107904,0.8,0.084087
43,0.00298198,-0.0031134,0.8,0.187348
44,0.0038677,0.0137654,0.8,0.0824792
45,0.000567073,0.0219046,0.8,0.0228083
46,-2.65203e-05,0.0240473,0.8,-0.031166
47,0.00057919,0.020635,0.8,-0.0185356
48,0.000744166,0.0189029,0.8,0.00475417
49,0.0018261,0.01822,0.8,-0.000939533
50,0.0021448,0.0107098,0.8,0.00543281
51,0.0017485,-0.00521928,0.8,0.104633
52,0.00248085,0.00565563,0.8,0.0543047
53,0.00252003,0.0105656,0.8,-0.00389779
54,0.000686525,0.0110497,0.8,-0.0175919
55,0.00072893,0.00947112,0.8,-0.042764
56,-0.0005555,0.00768152,0.8,-0.0338905
57,-6.82751e-05,0.004611,0.8,-0.0619943
58,0.00221231,-0.00399122,0.8,-0.0464959
59,0.00370139,-0.00836098,0.8,-0.00894195
60,0.00329594,-0.0199798,0.8,-0.0291522
61,0.00287933,-0.0353534,0.8,0.109959
62,0.00200171,-0.021801,0.8,0.00557064
63,0.00190419,-0.0211325,0.8,-0.0581714
64,0.00125818,-0.0265099,0.8,-0.024588
65,-0.00185242,-0.0261207,0.8,0.00616686
66,-0.00322838,-0.0256684,0.8,-0.0171392
67,-0.0087861,-0.0253192,0.8,0.0220997
68,-0.0105417,-0.0232908,0.8,-0.0030565
69,-0.0102709,-0.0277918,0.8,0.0492824
70,-0.00964168,0.0399823,0.8,0.139113
71,-0.00839327,0.0050367,0.8,-0.348741
72,0.000167327,-0.0251467,0.8,-1
73,0.00961275,-0.103813,0.8,-0.815808
74,0.0237938,-0.179426,0.8,-0.69241
75,0.0368013,-0.242485,0.8,-0.610548
76,0.0430585,-0.296678,0.8,-0.516917
77,0.0543855,-0.34364,0.8,-0.561562
78,0.0616484,-0.392968,0.8,-0.524993
79,0.0687265,-0.440662,0.8,-0.561283
80,0.0767455,-0.484323,0.8,-0.507621
81,0.0333438,-0.278925,0.8,0.123289
82,0.0563818,-0.27838,0.8,1
83,0.0695507,-0.230869,0.8,1
84,0.0724846,-0.141549,0.8,1
85,0.0634191,-0.0512155,0.8,1
86,0.0455812,0.0397713,0.8,0.676465
87,0.0198648,0.102262,0.8,0.609853
88,-0.00758175,0.158002,0.8,0.691482
89,-0.0396709,0.220694,0.8,0.81339
90,-0.0740176,0.378893,0.8,1
91,-0.102892,0.602454,0.8,0.364955
92,-0.0920925,0.369596,0.8,-1
93,-0.133544,0.362265,0.8,-1
94,-0.168447,0.306258,0.8,-1
95,-0.187009,0.216759,0.8,-1
96,-0.193704,0.126196,0.8,-1
97,-0.187973,0.0337097,0.8,-0.391994
98,-0.172581,-0.00980211,0.8,0.245418
99,-0.151726,-0.00336135,0.8,0.496031
100,-0.127815,0.0436905,0.8,0.599867
101,-0.11015,0.0889168,0.8,0.209776
102,-0.0457938,0.108799,0.8,-0.390006
103,-0.0536958,0.0808376,0.8,1
104,-0.0538864,0.096226,0.8,1
105,-0.0498272,0.162549,0.8,1
106,-0.0492896,0.254343,0.8,1
107,-0.0469146,0.345073,0.8,1
108,-0.0371563,0.432619,0.8,1
109,-0.0362672,0.523183,0.8,1
110,-0.0311246,0.630151,0.8,0.833744
111,-0.0170016,0.20933,0.8,-0.980114
112,-0.0303529,0.238286,0.8,-0.904389
113,-0.0428778,0.21588,0.8,-1
114,-0.0486476,0.142384,0.8,-1
115,-0.0498997,0.0549295,0.8,-1
116,-0.0404066,-0.0357839,0.8,-1
117,-0.0186152,-0.133189,0.8,-1
118,0.00356207,-0.223789,0.8,-1
119,0.0304686,-0.314411,0.8,-1
120,0.0498497,-0.506239,0.8,-1
121,0.0195489,-0.224346,0.8,0.342964
122,0.049941,-0.268584,0.8,1
123,0.0836748,-0.261217,0.8,1
124,0.117982,-0.201846,0.8,1
125,0.144055,-0.112154,0.8,1
126,0.15639,-0.01569,0.8,1
127,0.171178,0.0750475,0.8,1
128,0.181479,0.165672,0.8,1
129,0.178633,0.261166,0.8,1
130,0.179873,0.332135,0.8,1
131,0.0599521,-0.35708,0.8,1
132,0.0903682,-0.266594,0.8,0.998059
133,0.104243,-0.174516,0.8,0.010685
134,0.104713,-0.131276,0.8,-0.514965
