idx,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,0.00562585,-0.0237307,0,0
2,0.00562585,-0.0237307,0.0499972,0.16884
3,0.00562585,-0.0237306,0.0499972,0.273853
4,0.00574804,-0.0167635,0.0499972,0.339427
5,0.00569212,0.00795995,0.125032,0.304589
6,0.00231751,0.0259079,0.121085,0.110462
7,0.00171894,0.0360493,0.235783,-0.160648
8,0.000972215,0.0354495,0.225111,-0.353396
9,-0.000222346,0.0218623,0.352315,-0.408752
10,-0.00108486,0.00755071,0.395919,-0.32052
11,0.00425892,0.0132679,0.331137,-0.210778
12,0.00752797,-0.0227543,0.374174,-0.164978
13,0.00878277,-0.0377158,0.614215,0.166991
14,0.0128778,-0.0673101,0.595774,0.28756
15,0.0222498,-0.128108,0.567963,0.542873
16,0.0244608,-0.0898547,0.782291,1
17,0.0253804,-0.0671352,0.8,0.692429
18,0.0362247,-0.0432172,0.8,0.477989
19,0.0373437,-0.000972456,0.8,0.363076
20,0.0340449,0.0321304,0.8,0.0279649
21,0.010238,0.0434694,0.8,-0.145836
22,0.00646934,0.0306278,0.8,-0.157681
23,-0.000969955,0.0128862,0.8,-0.0555648
24,-0.000934674,0.0087962,0.8,0.0163036
25,-0.00109359,0.0173368,0.8,0.0281779
26,-0.0013857,0.0188011,0.8,-0.0507223
27,-0.00403135,0.0166707,0.8,-0.0344396
28,-0.0036292,0.0135628,0.8,-0.0436767
29,-0.00174032,-0.00985648,0.8,-0.0165545
30,0.0026316,-0.0148229,0.8,0.0435852
31,-0.00375207,-0.0308924,0.8,0.0709226
32,-0.000987467,-0.02775,0.8,0.0778834
33,0.000634374,-0.020771,0.8,0.048267
34,0.00207536,-0.0173822,0.8,-0.00494815
35,0.00176683,-0.0129426,0.8,-0.0120514
36,0.000112637,-0.0108735,0.8,-0.0588615
37,-0.00115245,-0.0162331,0.8,-0.0738675
38,-0.00132894,-0.0235693,0.8,-0.0310641
39,-0.00340995,0.00662607,0.8,0.0179605
40,-0.00330941,0.0037014,0.8,-0.0492256
41,-0.0032561,-0.00586408,0.8,0.00215165
