idx,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,0.0164788,0.00601334,0,0
2,0.00315557,-0.0397137,0.0499972,-0.0101214
3,0.00315557,-0.0397137,0.0499972,0.216249
4,0.00311432,-0.0288388,0.0499972,0.292933
5,0.00322987,-0.00232795,0.124685,0.188157
6,0.00248149,0.00254205,0.121156,0.00314777
7,0.0024732,0.00291512,0.235828,-0.0952027
8,0.00221656,0.00151197,0.225738,-0.0958172
9,0.00224794,-0.0075851,0.281856,-0.0930388
10,0.00307536,-0.0195766,0.380089,-0.04534
11,-0.000316157,0.00484467,0.46604,0.0121893
12,-0.000523888,0.000101725,0.60365,-0.0502667
13,-0.000425272,-0.0079794,0.723672,0.026844
14,0.000269611,-0.00887961,0.786444,0.0291658
15,0.00252824,-0.0127281,0.8,0.0395062
16,0.0036914,-0.00912944,0.8,0.0799235
17,0.00552764,-0.0068448,0.8,0.0166684
18,0.00620873,-0.00895095,0.8,0.0840022
19,0.00660848,-0.00145412,0.8,0.0392241
20,0.0024842,0.00435509,0.8,0.0313384
21,0.000669765,0.00223649,0.8,-0.0411205
22,0.000605662,0.0130785,0.8,-0.00783163
23,-0.00127374,0.012283,0.8,-0.138739
24,-0.00361878,0.0016771,0.8,-0.00580025
25,-0.0044101,0.00112913,0.8,-0.0740395
26,-0.00364988,-0.00894462,0.8,0.00329882
27,-0.00335023,-0.00871597,0.8,0.0206566
28,0.00406584,-0.00715347,0.8,0.0125083
29,0.00403812,-0.0103033,0.8,0.0891974
30,0.00739295,0.0065586,0.8,0.0519333
31,0.0161126,-0.0125545,0.8,-0.0191893
32,0.014632,-0.011844,0.8,0.0443756
33,0.0139434,-0.00895359,0.8,-0.024237
34,0.0111966,-0.0142279,0.8,0.0466554
35,0.0091128,-0.0114656,0.8,0.0351665
36,0.00558958,-0.00841298,0.8,0.0552592
37,0.00529966,-0.00280567,0.8,0.044906
38,0.000690436,0.00121111,0.8,0.0942598
39,-0.00360699,0.0527524,0.8,0.0627671
40,-0.00864586,0.0576958,0.8,-0.395976
41,-0.000638185,0.0110841,0.8,-0.0184307
42,-0.0022753,0.00802541,0.8,-0.0931431
43,-0.00352069,-0.000588048,0.8,0.0103465
44,-0.00909192,0.00341598,0.8,-0.0225976
45,-0.010265,0.00129097,0.8,-0.0562797
