idx,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,0.0117527,0.0135832,0,0
2,0.00234325,0.00136584,0.0499972,-0.0759563
3,0.00246153,-0.0047681,0.0499972,-0.046671
4,0.00240253,-0.0089751,0.126379,0.0100381
5,0.00249154,-0.0128578,0.122099,0.0582393
6,0.0025208,-0.00775035,0.239291,0.0916395
7,0.00341859,-0.0111619,0.226084,0.0683995
8,0.00353145,-0.010011,0.0569276,0.104083
9,0.00438092,-0.00409275,0.379164,0.0722837
10,0.00510617,-0.00604265,0.225877,0.0509577
11,0.00529329,-0.00426532,0.0567187,0.0684617
12,0.00358397,-0.0105001,0.380323,0.0467184
13,0.0053526,-0.0139421,0.264577,0.0698895
14,0.00531285,0.00549617,0.0576155,0.124541
15,0.00603214,0.00843772,0.440594,-0.0485154
16,0.00451734,0.000950846,0.448392,-0.0501174
17,0.00779816,-0.0270544,0.325033,-0.0121522
18,0.0153107,-0.0910367,0.382415,0.197617
19,0.0197627,-0.111975,0.600757,0.668634
20,0.0248167,-0.0918326,0.505027,0.768929
21,0.00953998,-0.0256829,0.63066,0.5668
22,0.00340492,0.031953,0.737473,0.0183929
23,0.00529244,0.053511,0.8,-0.239498
24,-0.00130301,0.0719399,0.8,-0.268078
25,-0.00538013,0.0484991,0.8,-0.434209
26,-0.0127579,0.0385028,0.8,-0.119332
27,-0.0148454,0.0285784,0.8,-0.297039
28,-0.0210474,-0.00726496,0.8,-0.117656
29,-0.0196775,-0.018224,0.8,0.0754409
30,-0.017699,-0.0119307,0.8,0.0788154
31,-0.02048,-0.00305187,0.8,0.0749448
32,-0.00242024,0.00172975,0.8,0.00704767
33,-0.00280217,0.00929859,0.8,-0.114127
34,-0.00416338,-0.000946097,0.8,-0.101676
35,-0.00277977,-0.0108925,0.8,-0.0351882
36,-0.00244058,-0.0154556,0.8,0.0182098
37,-0.00582909,-0.00991029,0.8,0.0284819
38,-0.00610587,-0.00740205,0.8,-0.0478808
39,-0.00486283,-0.0134213,0.8,-0.00846091
40,-0.00444656,-0.0140074,0.8,0.0396808
41,-0.00418616,-0.00100723,0.8,0.0257707
42,0.000863652,-0.0148423,0.8,-0.00266166
43,-0.000768981,-0.0152261,0.8,-0.182056
44,-0.00500001,-0.0339473,0.8,-0.0696898
45,-0.0053063,-0.0405538,0.8,-0.0164842
46,-0.00690422,-0.0405042,0.8,0.021806
47,-0.00775332,-0.0385544,0.8,0.0249853
48,-0.00904411,-0.0331683,0.8,0.0497904
49,-0.010855,-0.0288097,0.8,0.029265
50,-0.00585164,0.00874161,0.8,0.0660764
51,0.00238285,0.0056,0.8,0.0720848
52,0.000655897,0.0104525,0.8,-0.00202556
53,-7.37224e-06,-0.00213979,0.8,0.0249182
54,0.000490826,-0.000190517,0.8,0.133649
55,0.00192279,0.0106879,0.8,0.0698861
56,-0.000250846,0.0210126,0.8,0.0582926
57,-0.0013372,0.0261915,0.8,-0.0172377
58,-0.00237483,0.0258227,0.8,0.00108406
59,-0.00309887,0.0226114,0.8,0.000679437
60,-0.00303302,0.0382663,0.8,0.0405316
61,0.00219542,0.0011361,0.8,-0.0279286
62,0.00159707,-0.0082477,0.8,-0.0150634
63,0.00260868,-0.0097157,0.8,0.0423824
64,0.00192747,-0.00355931,0.8,0.0195154
65,0.00146141,-0.001719,0.8,-0.0209727
66,-0.00152102,-0.00179818,0.8,-0.00485868
67,-0.00241447,-0.00233204,0.8,-0.0304611
68,-0.00318084,-0.00541276,0.8,0.0019638
69,-0.00475146,-0.00467665,0.8,0.0228842
70,-0.00517654,0.00516113,0.8,0.0163697
71,-0.0088575,0.0160819,0.8,-0.0173863
72,-0.0106976,0.0144949,0.8,-0.42719
73,-0.00938217,-0.0172467,0.8,-0.308303
74,-0.0014101,-0.0454788,0.8,-0.373208
75,0.0119414,-0.0809143,0.8,-0.339291
76,0.0259247,-0.111883,0.8,-0.302711
77,0.0360366,-0.135533,0.8,-0.397234
78,0.0515352,-0.177736,0.8,-0.483795
79,0.0628739,-0.220875,0.8,-0.490329
80,0.0769246,-0.274548,0.8,-0.752625
81,0.084545,-0.341902,0.8,-0.660487
82,0.0542093,-0.277499,0.8,-0.149985
83,0.0706957,-0.294228,0.8,0.760798
84,0.075256,-0.262035,0.8,0.32432
85,0.0722963,-0.232565,0.8,0.451811
86,0.0623856,-0.190494,0.8,0.25083
87,0.0445155,-0.167385,0.8,0.201657
88,0.022906,-0.149213,0.8,0.246755
89,-0.00078516,-0.128402,0.8,0.33566
90,-0.0245009,0.027358,0.8,0.453497
91,-0.0313906,0.182897,0.8,0.296054
92,-0.0645806,0.211037,0.8,-0.487476
93,-0.0815538,0.190474,0.8,-0.0934541
94,-0.0898216,0.181545,0.8,-0.0277526
95,-0.0973612,0.182629,0.8,0.177776
96,-0.0942972,0.198349,0.8,0.159853
97,-0.0881308,0.212833,0.8,0.217458
98,-0.0747168,0.229457,0.8,0.208805
99,-0.064536,0.248326,0.8,0.239422
100,-0.0539842,0.188613,0.8,0.1457
101,-0.00394599,-0.0133161,0.8,0.12689
102,0.00699525,-0.00582153,0.8,0.606296
103,0.00503935,0.047831,0.8,0.490208
104,-0.00261715,0.0924498,0.8,0.352584
105,-0.0118065,0.124918,0.8,0.308271
106,-0.0238896,0.152681,0.8,0.34527
107,-0.032152,0.180363,0.8,0.391387
108,-0.0442372,0.215956,0.8,0.520997
109,-0.052118,0.257081,0.8,0.528088
110,-0.0539884,0.271682,0.8,0.646822
111,-0.0126151,0.228681,0.8,0.434685
112,-0.0324062,0.268249,0.8,-0.165183
113,-0.0414766,0.260027,0.8,-0.0517242
114,-0.042417,0.255386,0.8,-0.056731
115,-0.0362492,0.250444,0.8,-0.0843434
