idx,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,0.00539383,-0.0249918,0,0
2,0.00539383,-0.0249918,0.0499998,0.14366
3,0.00491829,-0.0138345,0.0499998,0.0565536
4,0.00499975,-0.00868504,0.125538,0.039205
5,0.00457938,-0.00565069,0.121715,0.015411
6,0.00464324,-0.00436935,0.238062,0.00611429
7,0.00433685,-0.00228349,0.226208,-0.00161167
8,0.00423623,-0.00361731,0.0775561,-0.013675
9,0.00446254,-0.00249643,0.379988,-0.0134848
10,0.00419369,-3.83563e-05,0.226588,-0.0233825
11,0.00423231,0.00737961,0.0913846,-0.036053
12,0.00173314,0.0655965,0.382029,-0.0877133
13,-0.00176158,0.0880473,0.436395,-0.419386
14,-0.00564404,0.110585,0.371914,-0.364036
15,-0.0119323,0.103567,0.448085,-0.614238
16,-0.0208706,0.0619943,0.517192,-0.460029
17,-0.0234326,0.0143291,0.604288,-0.354837
18,-0.0230833,-0.019336,0.71226,-0.122754
19,-0.00542701,-0.0462536,0.8,-0.0436993
20,0.0124461,-0.028375,0.8,0.267977
21,0.00572374,-0.00479649,0.8,0.230515
22,0.00614707,0.0160701,0.8,0.0391032
23,0.00546617,0.0207927,0.8,0.0402364
24,0.00432331,0.0206568,0.8,0.019955
25,0.00412467,0.0224559,0.8,0.0485832
26,0.000749319,0.0309525,0.8,0.0291457
27,3.76468e-05,0.0335094,0.8,-0.0399085
28,-0.00309268,0.0230547,0.8,-0.00529599
29,-0.00341463,0.0224498,0.8,-0.0420408
30,-0.00782214,-0.00065883,0.8,-0.00821712
31,-0.0195917,-0.0171569,0.8,0.000460126
32,-0.0191988,-0.0132351,0.8,-0.0506219
33,-0.0177353,-0.0179427,0.8,-0.0509438
34,-0.0212592,-0.0203352,0.8,-0.00549293
35,-0.0193965,-0.0209465,0.8,-0.0550785
36,-0.0173126,-0.0260498,0.8,-0.00229342
37,-0.015761,-0.0253194,0.8,0.014571
38,-0.0137241,-0.0223836,0.8,0.00569487
39,-0.0151441,-0.020394,0.8,0.0165021
40,-0.0133181,-0.0189972,0.8,-0.00624181
41,-0.0114027,-0.0198512,0.8,0.0132816
42,-0.0080061,-0.0188018,0.8,0.045488
43,-0.00767779,-0.0130416,0.8,-0.0163021
44,-0.00636602,-0.0203052,0.8,-0.0619314
45,-0.00506311,-0.025778,0.8,0.00287643
46,-0.00153358,-0.0265524,0.8,-0.0248713
47,-0.0007525,-0.0288019,0.8,0.0123621
48,0.000355695,-0.028698,0.8,-0.0142054
49,0.000495914,-0.0299809,0.8,-0.000395718
50,-0.00272701,0.00829217,0.8,-0.00938626
51,-0.0055765,0.00748459,0.8,-0.117326
52,-0.00431357,-0.00455516,0.8,0.0116909
53,-0.00388739,-0.00377764,0.8,0.0769295
54,-0.00301099,0.00307704,0.8,0.0779393
55,-0.00399369,0.00802648,0.8,0.0710425
56,-0.00317014,0.0144692,0.8,0.0565914
57,-0.00094084,0.0166629,0.8,0.0529871
58,0.000157458,0.0214952,0.8,0.0854442
59,0.00573598,0.0285134,0.8,0.048311
60,0.0066643,0.0329013,0.8,0.108735
61,0.00186278,0.00665424,0.8,0.0391311
62,-0.000706378,0.0102898,0.8,-0.0935148
63,-0.00173937,0.00297855,0.8,0.00721209
64,-0.00154124,0.00358528,0.8,0.0223002
65,-0.00533639,0.00680456,0.8,0.0216245
66,-0.00465103,0.00871658,0.8,-0.0422013
67,-0.0037074,0.0035544,0.8,-0.0279844
68,-0.00609743,0.000714245,0.8,-0.0273541
69,-0.00362409,-0.0107065,0.8,-0.0929816
70,-0.000200512,-0.0217056,0.8,-0.0233865
71,0.0179671,-0.00898687,0.8,-0.113855
72,0.0196285,-0.017409,0.8,-0.451307
73,0.0143914,-0.0572055,0.8,-0.942849
74,0.000929786,-0.137373,0.8,-0.808682
75,-0.0051325,-0.210852,0.8,-0.826277
76,-0.00776549,-0.283332,0.8,-0.600166
77,-0.0103248,-0.336779,0.8,-0.487403
78,-0.00920479,-0.386764,0.8,-0.378543
79,-0.0183962,-0.425496,0.8,-0.324749
80,-0.0187058,-0.44966,0.8,-0.191416
81,-0.0343824,-0.0399099,0.8,-0.105331
82,-0.0320556,-0.0496679,0.8,0.367244
83,-0.0273333,-0.0189213,0.8,0.379033
84,-0.025132,0.0156129,0.8,0.422774
85,-0.0208232,0.0538284,0.8,0.417752
86,-0.0254154,0.096275,0.8,0.420695
87,-0.0218799,0.134338,0.8,0.371359
88,-0.0219774,0.228947,0.8,0.407295
89,-0.0331918,0.273473,0.8,0.503892
90,-0.0277374,0.277768,0.8,0.30454
91,-0.00227779,-0.0213626,0.8,0.41354
92,0.00163901,0.0160006,0.8,0.358328
93,0.00495986,0.0470031,0.8,0.265154
94,0.00577569,0.0760615,0.8,0.243106
95,0.00530795,0.0972691,0.8,0.146366
96,0.00490325,0.110708,0.8,0.145807
97,0.00367497,0.122278,0.8,0.136602
98,0.00377222,0.134617,0.8,0.133951
99,0.00111427,0.106913,0.8,0.118173
100,-0.00212084,0.0189998,0.8,0.0364294
101,-0.0170365,0.0251577,0.8,-0.264882
102,-0.0238648,0.00231348,0.8,0.276005
103,-0.0226383,0.0239541,0.8,0.476148
104,-0.0227012,0.0683218,0.8,0.572186
105,-0.0176605,0.120316,0.8,0.541146
