idx,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,0.0325774,0.036887,0,0
2,0.00701113,-0.0582292,0.0499972,-0.188857
3,0.00701113,-0.0582292,0.0499972,0.260774
4,0.00753973,-0.0702633,0.0499972,0.483283
5,0.00789219,-0.0489266,0.126793,0.611302
6,0.00807543,-0.00566974,0.120747,0.534064
7,0.000669801,0.0340626,0.119286,0.229603
8,-0.000495498,0.0822948,0.237061,-0.260518
9,-0.00264507,0.10931,0.222303,-0.698002
10,-0.00457304,0.109996,0.232854,-0.994351
11,-0.000360843,0.186632,0.401356,-0.989653
12,-0.00285117,0.15767,0.363086,-1
13,0.0046966,0.129509,0.0709384,-1
14,0.00185588,0.0453307,0.278353,-0.977841
15,-0.00252458,-0.0153073,0.446922,-0.245762
16,0.000979027,-0.0823312,0.482777,0.151239
17,0.0101091,-0.164443,0.148969,0.606847
18,0.0180194,-0.221022,0.44116,1
19,0.0285315,-0.247942,0.515154,1
20,0.0391982,-0.225773,0.492188,1
21,0.045545,-0.192926,0.452179,1
22,0.012353,-0.188527,0.534273,1
23,0.0321256,-0.100507,0.588237,1
24,0.0311806,-0.0255553,0.608214,0.847738
25,0.0375642,0.0498757,0.725459,0.192304
26,0.0293313,0.12685,0.8,-0.242176
27,0.0165097,0.188924,0.8,-0.791406
28,-0.00025276,0.263861,0.772489,-1
29,-0.0252818,0.269295,0.8,-1
30,-0.0482584,0.271854,0.8,-1
31,-0.0760877,0.297627,0.8,-1
32,0.00261935,0.422433,0.712566,-1
33,-0.0304591,0.520903,0.575795,-1
34,-0.071468,0.661075,0.54033,-1
35,-0.142758,0.810934,0.4544,-1
36,-0.213043,0.904674,0.52242,-1
37,-0.280225,0.965797,0.295775,-1
38,-0.363346,1.01933,0.250879,-1
39,-0.456009,0.990832,0.228104,-1
40,-0.472092,0.823864,0.536617,-1
41,-0.472092,0.823864,0.278557,-1
42,-0.0489755,1.12023,0.278557,-1
43,-0.0886221,1.01335,0.0383271,-1
44,-0.150771,0.922993,0.366605,-1
45,-0.179536,0.839901,0.36369,-1
46,-0.15572,0.757824,0.370168,-1
