idx,car_position_x,car_position_y,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,7.02918e-05,-1.97002e-07,-0.00508729,0.0550446,0,0
2,7.0308e-05,-1.97217e-07,-0.00508729,0.0550446,0.2,-0.00665728
3,0.00997226,-9.51779e-07,-0.00454533,0.05424,0.4,-0.00665728
4,0.0299736,-4.34129e-06,-0.00347557,0.0525647,0.6,-0.00656427
5,0.060075,-1.29972e-05,-0.00192925,0.0500119,0.8,-0.00647342
6,0.100276,-2.93591e-05,1.59454e-05,0.0466085,1,-0.00642334
7,0.150578,-5.58211e-05,0.00225739,0.0423819,1.2,-0.00641269
8,0.210979,-9.48622e-05,0.00466925,0.0373715,1.4,-0.00645555
9,0.281481,-0.000148987,0.00710456,0.0316265,1.5,-0.00656359
10,0.362083,-0.000220674,0.0204426,0.0322958,1.5,0.00580975
11,0.452785,-0.000312425,0.0202144,0.0857145,1.5,0.00632559
12,0.553586,-0.000426744,0.0274969,0.0586871,1.5,-0.00253909
13,0.664487,-0.000565624,0.0155659,0.0237115,1.5,-0.104399
14,0.785488,-0.000731015,0.0170988,0.00182829,1.5,-0.111886
15,0.916588,-0.000925973,0.0172324,-0.023404,1.5,-0.124106
16,1.05779,-0.00115395,0.0124094,-0.0445791,1.5,-0.136922
17,1.20659,-0.001972,-0.00161569,-0.0576996,1.5,-0.205764
18,1.35668,-0.00488965,-0.00983976,-0.0499036,1.5,-0.211466
19,1.50673,-0.0108671,-0.0216215,-0.0451746,1.5,-0.21475
20,1.65662,-0.0199717,-0.00355183,0.0534537,1.5,-0.202425
21,1.80628,-0.0321521,0.00573091,0.0722229,1.5,0.0822666
22,1.95554,-0.0455705,0.0128129,0.0666303,1.5,0.116759
23,2.10498,-0.0576725,0.0217472,0.0512063,1.5,0.107843
24,2.25453,-0.0681171,0.0313881,0.0381005,1.5,0.105664
25,2.40418,-0.0770041,0.0384537,0.0240016,1.5,0.0578275
26,2.554,-0.0845544,0.0396142,0.0141297,1.5,0.0469126
27,2.70381,-0.0911912,0.0416569,0.00571101,1.5,0.0395471
28,2.85366,-0.0971894,0.0459644,-0.00107998,1.5,0.0382884
29,3.00353,-0.10262,0.0473704,-0.00797173,1.5,0.025839
30,3.15343,-0.107572,0.0463865,-0.0136391,1.5,0.0177168
