idx,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,0.0177952,0.0186252,0,0
2,0.00370652,-0.0104979,0.0499972,-0.0948079
3,0.00396107,-0.0175267,0.0499972,0.0214469
4,0.00407757,-0.0156954,0.126461,0.121555
5,0.00421459,-0.0164462,0.12195,0.150479
6,0.00439813,-0.00322137,0.23832,0.141741
7,0.00464681,-0.00312044,0.226012,0.0566883
8,0.00470454,-0.000916982,0.0573935,0.0509426
9,0.00541826,0.00340865,0.378948,0.00029824
10,0.00537095,0.00755887,0.225711,-0.0208495
11,0.00791678,-0.00189539,0.13161,-0.0523459
12,0.00763358,-0.00721099,0.0577024,-0.00911229
13,0.00755709,0.000807405,0.239703,0.0383216
14,0.0074065,0.000101058,0.170883,0.00583251
15,0.00751228,-1.26438e-05,0.133288,0.00138274
16,0.00748856,-0.00310612,0.0558097,0.00380671
17,0.00695975,-0.00797055,0.258995,0.0113047
18,0.00771632,-0.0110517,0.125674,0.0531511
19,0.00841513,-0.0133942,0.054036,0.0984883
20,0.00897972,-0.0146198,0.276748,0.0986458
21,0.00272535,-0.0243508,0.175887,0.127678
22,0.00407697,-0.0496432,0.183447,0.186041
23,0.00521895,-0.0407884,0.197981,0.367695
24,0.00576243,-0.015678,0.315763,0.309192
25,0.00365202,0.00942307,0.328175,0.131112
26,0.00251033,0.0200305,0.441316,-0.0986383
27,0.000666581,0.0347416,0.484748,-0.183982
28,-0.00237496,0.040606,0.518652,-0.305534
29,-0.00483849,0.0232501,0.603108,-0.368763
30,0.000349388,-0.029925,0.686763,-0.247646
31,0.00100472,-0.0131971,0.8,0.199236
32,-0.00809321,0.00520726,0.8,-0.128759
33,-0.00879262,-0.00470261,0.8,-0.029627
34,-0.00848264,-0.0074484,0.8,0.0225515
35,-0.00800096,-0.00735575,0.8,0.0283904
36,-0.00709667,-0.00478212,0.8,0.0373416
37,0.00324334,-0.000887647,0.8,0.0266174
38,0.00390158,0.00149797,0.8,0.0961141
39,0.00171792,0.00884429,0.8,0.0406401
40,0.00150282,0.0125907,0.8,-0.00266844
41,0.000512285,0.0197174,0.8,-0.00757334
42,-0.0225676,0.000105857,0.8,-0.00703663
43,-0.0224374,0.00220596,0.8,-0.138804
44,-0.021786,-0.00614049,0.8,-0.0649828
45,-0.020138,-0.012203,0.8,-0.0317227
46,-0.0175812,-0.0185463,0.8,0.0161171
47,-0.014666,-0.0170984,0.8,0.0626995
48,-0.00939976,-0.00857689,0.8,0.0455101
49,-0.00766529,-0.0044915,0.8,0.0284117
50,-0.00533911,-0.00772264,0.8,0.0175942
51,0.00832648,-0.00647331,0.8,0.00432761
52,0.00634425,-0.00624535,0.8,-0.0384683
53,0.00586121,-0.00963875,0.8,-0.0443987
54,0.00135456,-0.00987137,0.8,-0.0291536
55,0.000390248,-0.0125159,0.8,-0.0833507
