idx,car_position_x,car_position_y,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,-2.46251e-08,3.79812e-05,-2.46251e-08,4.6133e-05,0,0
2,-2.46226e-08,3.80626e-05,-2.46226e-08,4.6133e-05,0.0500012,0.000288236
3,-2.462e-08,3.8144e-05,-2.462e-08,4.6133e-05,0.0500012,0.000108364
4,1.34008e-07,0.00501349,1.34008e-07,2.26576e-05,0.0500012,0.000221026
5,2.26472e-07,0.0100137,2.26472e-07,1.77797e-05,0.100001,4.20164e-06
6,2.66206e-07,0.0150138,2.66206e-07,2.48318e-07,0.100002,0.000110067
7,2.34359e-07,0.0249892,2.34359e-07,-5.15364e-06,0.100001,-6.68805e-05
8,1.51127e-07,0.0349894,1.51127e-07,-9.8695e-06,0.150002,1.03505e-05
9,1.19321e-07,0.0449897,1.19321e-07,-9.98347e-06,0.150003,-6.87484e-05
10,-1.40855e-07,0.0599651,-1.40855e-07,-1.59896e-05,0.150003,-1.95824e-05
11,-3.16151e-07,0.0749655,-3.16151e-07,-1.66178e-05,0.200002,-9.08823e-05
12,-6.14673e-07,0.0899658,-6.14673e-07,-1.76876e-05,0.200004,-5.02847e-05
13,-1.01238e-06,0.109941,-1.01238e-06,-1.91129e-05,0.200004,-8.42449e-05
14,-1.34988e-06,0.129942,-1.34988e-06,-2.03225e-05,0.250001,-7.52346e-05
15,-1.76177e-06,0.149942,-1.76177e-06,-2.02312e-05,0.250005,-9.05054e-05
16,-2.27703e-06,0.174917,-2.27703e-06,-2.18279e-05,0.250005,-8.20955e-05
17,-2.83339e-06,0.199918,-2.83339e-06,-2.04728e-05,0.299999,-0.000103287
18,-3.33201e-06,0.224918,-3.33201e-06,-1.99434e-05,0.300007,-8.36197e-05
19,-3.8253e-06,0.254893,-3.8253e-06,-1.10527e-05,0.300006,-9.55287e-05
20,-4.11079e-06,0.284894,-4.11079e-06,-1.01024e-05,0.349993,-3.43782e-05
21,-4.38752e-06,0.314894,-4.38752e-06,-7.71092e-06,0.350008,-6.96445e-05
22,-4.50459e-06,0.349868,-4.50459e-06,2.119e-06,0.350008,-3.21882e-05
23,-4.37339e-06,0.384869,-4.37339e-06,2.58948e-06,0.39998,7.1086e-06
24,-4.29715e-06,0.41987,-4.29715e-06,2.86312e-06,0.400009,-1.47873e-05
25,-4.1867e-06,0.459839,-4.1867e-06,6.91195e-06,0.400009,2.01617e-06
26,-3.89168e-06,0.49984,-3.89168e-06,8.00476e-06,0.430648,1.89514e-05
27,-3.56131e-06,0.539841,-3.56131e-06,9.2283e-06,0.442511,1.72529e-05
28,-3.02629e-06,0.582899,-3.02629e-06,1.21306e-05,0.43527,2.89572e-05
29,-2.47575e-06,0.62715,-2.47575e-06,1.4187e-05,0.451536,4.50284e-05
30,-1.89265e-06,0.670677,-1.89265e-06,1.6207e-05,0.464925,5.23541e-05
31,-1.0677e-06,0.716555,-1.0677e-06,1.92254e-05,0.461224,6.52629e-05
32,-1.43251e-07,0.763047,-1.43251e-07,2.15174e-05,0.468143,8.36858e-05
33,8.80545e-07,0.80917,8.80545e-07,2.25829e-05,0.480694,9.34897e-05
34,1.93224e-06,0.855984,1.93224e-06,2.18814e-05,0.475337,0.000101173
35,2.93079e-06,0.903117,2.93079e-06,2.05027e-05,0.479027,9.83269e-05
36,3.85204e-06,0.950651,3.85204e-06,1.81935e-05,0.482238,9.72743e-05
