idx,car_position_x,car_position_y,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
4,-2.75959e-08,5.64294e-05,-2.75959e-08,4.6134e-05,0,0
5,6.19699e-08,0.00254491,6.19699e-08,4.17386e-05,0.025,0.000115404
6,6.19699e-08,0.00254491,6.19699e-08,4.17386e-05,0.05,0.000104506
7,1.54655e-07,0.0050392,1.54655e-07,3.7269e-05,0.075,0.000104506
8,4.07254e-07,0.0125151,4.07254e-07,2.53131e-05,0.1,9.3616e-05
9,6.11997e-07,0.0225149,6.11997e-07,1.6499e-05,0.125,6.44512e-05
10,7.78076e-07,0.0350148,7.78076e-07,1.09116e-05,0.15,4.31759e-05
11,9.02641e-07,0.0500146,9.02641e-07,7.29852e-06,0.175,2.98123e-05
12,9.96013e-07,0.0675144,9.96013e-07,4.67647e-06,0.2,2.08423e-05
13,1.0599e-06,0.0875143,1.0599e-06,2.8774e-06,0.225,1.48661e-05
14,1.1004e-06,0.110014,1.1004e-06,1.59315e-06,0.25,1.03481e-05
15,1.1179e-06,0.135014,1.1179e-06,6.58223e-07,0.275,7.4005e-06
16,1.11672e-06,0.162514,1.11672e-06,-2.36428e-08,0.3,5.07363e-06
17,1.10018e-06,0.192514,1.10018e-06,-5.10115e-07,0.325,3.33363e-06
18,1.07143e-06,0.225014,1.07143e-06,-8.55603e-07,0.35,2.1418e-06
19,1.03467e-06,0.260013,1.03467e-06,-1.20035e-06,0.375,1.17925e-06
20,9.8043e-07,0.297513,9.8043e-07,-1.57777e-06,0.4,2.04151e-07
21,9.08099e-07,0.337513,9.08099e-07,-1.99944e-06,0.425,-1.02401e-06
22,8.15082e-07,0.380013,8.15082e-07,-2.46147e-06,0.45,-2.0868e-06
23,6.98263e-07,0.425013,6.98263e-07,-2.94969e-06,0.475,-3.62635e-06
24,5.53436e-07,0.472513,5.53436e-07,-3.504e-06,0.5,-5.2338e-06
25,3.75396e-07,0.522513,3.75396e-07,-4.14153e-06,0.5,-7.13734e-06
26,1.99152e-07,0.572513,1.99152e-07,-4.77265e-06,0.5,-9.41598e-06
27,-5.82828e-08,0.622513,-5.82828e-08,-5.69492e-06,0.5,-1.11992e-05
28,-3.66889e-07,0.672513,-3.66889e-07,-6.80088e-06,0.5,-1.45079e-05
29,-7.35072e-07,0.722513,-7.35072e-07,-8.12062e-06,0.5,-1.82052e-05
30,-1.17543e-06,0.772513,-1.17543e-06,-9.69919e-06,0.5,-2.26354e-05
31,-1.70167e-06,0.822513,-1.70167e-06,-1.15855e-05,0.5,-2.77856e-05
32,-2.32992e-06,0.872513,-2.32992e-06,-1.38373e-05,0.5,-3.40747e-05
33,-3.0797e-06,0.922513,-3.0797e-06,-1.65244e-05,0.5,-4.17741e-05
34,-3.97355e-06,0.972513,-3.97355e-06,-1.96174e-05,0.5,-5.04975e-05
35,-5.02678e-06,1.02251,-5.02678e-06,-2.20319e-05,0.5,-6.08956e-05
36,-6.17597e-06,1.07251,-6.17597e-06,-2.35826e-05,0.5,-7.03746e-05
37,-7.37798e-06,1.12251,-7.37798e-06,-2.43829e-05,0.5,-7.81268e-05
38,-8.60356e-06,1.17251,-8.60356e-06,-2.46452e-05,0.5,-8.29265e-05
39,-9.83467e-06,1.22251,-9.83467e-06,-2.46421e-05,0.5,-8.77382e-05
40,-1.10578e-05,1.27251,-1.10578e-05,-2.41944e-05,0.5,-9.16103e-05
41,-1.22473e-05,1.32251,-0.00622012,0.00648143,0.5,-9.47158e-05
42,-1.33723e-05,1.37251,-0.0116199,0.0122367,0.5,-9.47222e-05
43,-1.44045e-05,1.42251,-0.0181602,0.0192986,0.5,-9.43483e-05
44,-1.53266e-05,1.47251,-0.0256262,0.0274671,0.5,-9.29416e-05
45,-1.61266e-05,1.52251,-0.0450402,0.0478517,0.5,-9.06524e-05
46,-1.68081e-05,1.57251,-0.0549149,0.0588024,0.5,-8.50187e-05
47,-1.73954e-05,1.62251,-0.0652269,0.070388,0.5,-8.21802e-05
48,-1.79299e-05,1.67251,-0.0758934,0.0825292,0.5,-8.14364e-05
49,-1.84403e-05,1.72251,-0.103533,0.111387,0.5,-8.18533e-05
50,-1.8949e-05,1.77251,-0.115575,0.125232,0.5,-8.07562e-05
51,-1.94744e-05,1.82251,-0.127767,0.139419,0.5,-8.33796e-05
52,-2.00317e-05,1.87251,-0.140069,0.153906,0.5,-8.6951e-05
53,-2.06051e-05,1.92251,-0.174292,0.189034,0.5,-9.04677e-05
54,-2.11744e-05,1.97251,-0.18753,0.204666,0.5,-8.99579e-05
55,-2.17174e-05,2.02251,-0.200774,0.220466,0.5,-9.15783e-05
56,-2.22161e-05,2.07252,-0.214003,0.236405,0.5,-9.25463e-05
57,-2.26383e-05,2.12252,-0.254305,0.276447,0.5,-9.19628e-05
58,-2.29654e-05,2.17252,-0.26826,0.293128,0.5,-8.63338e-05
59,-2.32064e-05,2.22252,-0.28214,0.309847,0.5,-8.35024e-05
60,-2.33923e-05,2.27252,-0.29593,0.32658,0.5,-8.19274e-05
61,-2.35443e-05,2.32252,-0.342301,0.37033,0.5,-8.10635e-05
62,-2.36838e-05,2.37252,-0.356718,0.387452,0.5,-7.76587e-05
63,-2.38403e-05,2.42252,-0.371006,0.404505,0.5,-7.91399e-05
64,-2.40307e-05,2.47252,-0.385155,0.421471,0.5,-8.17583e-05
65,-2.42554e-05,2.52252,-0.437856,0.467678,0.5,-8.49365e-05
66,-2.45103e-05,2.57252,-0.452589,0.484706,0.5,-8.44172e-05
67,-2.47749e-05,2.62252,-0.467155,0.501578,0.5,-8.66945e-05
68,-2.50403e-05,2.67252,-0.481546,0.518281,0.5,-8.8831e-05
69,-2.52608e-05,2.72252,-0.541009,0.565646,0.5,-8.9959e-05
70,-2.54063e-05,2.77252,-0.555974,0.582119,0.5,-8.48902e-05
71,-2.54599e-05,2.82252,-0.570743,0.59837,0.5,-8.16051e-05
72,-2.54422e-05,2.87252,-0.585309,0.614392,0.5,-7.89149e-05
73,-2.53755e-05,2.92252,-0.652114,0.66166,0.5,-7.68739e-05
74,-2.52827e-05,2.97252,-0.667272,0.677215,0.5,-7.19566e-05
75,-2.51848e-05,3.02252,-0.682211,0.692507,0.5,-7.17485e-05
76,-2.50587e-05,3.07252,-0.696924,0.707533,0.5,-7.13296e-05
77,-2.49073e-05,3.12252,-0.771785,0.753609,0.5,-7.06285e-05
78,-2.47256e-05,3.17252,-0.787124,0.768,0.5,-6.6133e-05
79,-2.45116e-05,3.22252,-0.802223,0.782109,0.5,-6.47968e-05
80,-2.42511e-05,3.27252,-0.817074,0.795937,0.5,-6.29489e-05
81,-2.39382e-05,3.32252,-0.900842,0.839963,0.5,-6.0542e-05
82,-2.35622e-05,3.37252,-0.916373,0.853058,0.5,-5.41789e-05
83,-2.31132e-05,3.42252,-0.931643,0.865871,0.5,-5.0324e-05
84,-2.25699e-05,3.47252,-0.946646,0.878405,0.5,-4.56071e-05
85,-2.19168e-05,3.52252,-1.04033,0.919794,0.5,-3.99537e-05
86,-2.11315e-05,3.57252,-1.05608,0.931558,0.5,-2.91788e-05
87,-2.01904e-05,3.62252,-1.07155,0.943053,0.5,-2.04317e-05
88,-1.90566e-05,3.67252,-1.08673,0.954284,0.5,-9.48363e-06
89,-1.76974e-05,3.72252,-1.1915,0.992697,0.5,3.58816e-06
90,-1.608e-05,3.77252,-1.20751,1.00317,0.5,2.19818e-05
91,-1.41499e-05,3.82252,-1.22324,1.01339,0.5,4.05598e-05
92,-1.20298e-05,3.87252,-1.23867,1.02338,0.5,5.8512e-05
93,-9.8454e-06,3.92252,-1.35596,1.0587,0.5,7.12838e-05
94,-7.67704e-06,3.97252,-1.37239,1.06797,0.5,8.01921e-05
95,-5.57056e-06,4.02252,-1.38851,1.07703,0.5,8.42805e-05
96,-3.54672e-06,4.07252,-1.40433,1.08588,0.5,8.64347e-05
97,-1.61058e-06,4.12252,-1.53584,1.11813,0.5,8.80642e-05
98,2.28649e-07,4.17252,-1.55278,1.12632,0.5,8.98117e-05
99,1.95252e-06,4.22252,-1.56941,1.13432,0.5,9.0042e-05
100,3.54228e-06,4.27252,-1.58571,1.14213,0.5,8.90004e-05
101,4.98928e-06,4.32252,-1.73345,1.17143,0.5,8.70422e-05
102,6.29588e-06,4.37252,-1.75107,1.17865,0.5,8.38039e-05
103,7.47836e-06,4.42252,-1.76836,1.1857,0.5,8.1188e-05
104,8.56408e-06,4.47252,-1.78529,1.19259,0.5,7.95578e-05
105,9.58331e-06,4.52252,-1.95162,1.2191,0.5,7.89877e-05
106,1.0565e-05,4.57252,-1.9701,1.22546,0.5,7.87623e-05
107,1.15342e-05,4.62252,-1.98822,1.23167,0.5,8.08093e-05
108,1.2507e-05,4.67252,-2.00598,1.23775,0.5,8.41636e-05
109,1.34805e-05,4.72252,-2.1938,1.26168,0.5,8.76124e-05
110,1.44363e-05,4.77252,-2.21345,1.2673,0.5,8.87098e-05
111,1.5351e-05,4.82252,-2.23276,1.27279,0.5,9.03978e-05
112,1.62031e-05,4.87252,-2.25172,1.27816,0.5,9.11999e-05
113,1.69664e-05,4.92252,-2.46466,1.29974,0.5,9.06263e-05
114,1.76255e-05,4.97252,-2.48592,1.30471,0.5,8.6261e-05
115,1.81865e-05,5.02252,-2.50682,1.30958,0.5,8.35961e-05
116,1.86741e-05,5.07252,-2.52735,1.31434,0.5,8.19593e-05
117,1.91073e-05,5.12252,-2.76972,1.33376,0.5,8.09967e-05
118,1.95076e-05,5.17252,-2.793,1.33816,0.5,7.81114e-05
119,1.98975e-05,5.22252,-2.81591,1.34247,0.5,7.87455e-05
120,2.03022e-05,5.27252,-2.83845,1.34669,0.5,8.10801e-05
121,2.07255e-05,5.32252,-3.11566,1.36415,0.5,8.39295e-05
122,2.11684e-05,5.37252,-3.14166,1.36806,0.5,8.35738e-05
123,2.16118e-05,5.42252,-3.16735,1.3719,0.5,8.58703e-05
124,2.20495e-05,5.47252,-3.19274,1.37566,0.5,8.82194e-05
125,2.24502e-05,5.52252,-3.51184,1.39134,0.5,8.91287e-05
126,2.27867e-05,5.57252,-3.54167,1.39484,0.5,8.53507e-05
127,2.3051e-05,5.62252,-3.57122,1.39826,0.5,8.38058e-05
