idx,car_position_x,car_position_y,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
214,3,-4.73282e-05,-0.136755,-0.295702,0,0
216,3,-4.73795e-05,-0.136755,-0.295702,0.025,0.721045
218,3.00002,0.000147529,0.0846282,-1.14728,0.0283687,0.721045
220,3.00011,-0.00104702,0.329517,-1.3072,0.0342737,0.636499
222,3.00054,-0.00387611,0.370849,-1.28715,0.0447437,0.484333
224,3.00124,-0.00743477,0.302518,-1.20065,0.059919,0.32749
226,3.00238,-0.0122886,0.223852,-1.07918,0.0788923,0.20089
228,3.00438,-0.0198261,0.169939,-0.971016,0.100482,0.113673
230,3.00709,-0.0294188,0.133706,-0.886593,0.123515,0.0655649
232,3.01054,-0.0412307,0.107412,-0.825112,0.145334,0.106027
234,3.01274,-0.0482196,0.0383784,-0.454774,0.167607,0.0909161
236,3.01696,-0.0603119,-0.000290381,-0.188041,0.192516,-0.00302349
238,3.02351,-0.0782861,-0.00411073,-0.192353,0.21565,-0.0622128
240,3.03082,-0.098619,-0.00292649,-0.259926,0.238731,-0.0639609
242,3.03604,-0.112777,-0.0233096,-0.0455004,0.26224,-0.0497129
244,3.04386,-0.132838,-0.0302002,0.0280633,0.286182,-0.035264
246,3.0542,-0.15894,-0.0293733,-0.0045452,0.309208,-0.0657952
248,3.06547,-0.187771,-0.0296216,-0.0671433,0.332271,-0.0645759
250,3.07739,-0.21883,-0.0335987,-0.121457,0.356355,0.0305165
252,3.09008,-0.252097,-0.0368359,-0.118199,0.379909,0.0482051
254,3.10275,-0.285374,-0.0442992,-0.147676,0.401079,0.127658
256,3.11712,-0.322686,-0.0400719,-0.110483,0.421739,0.144668
258,3.13084,-0.357795,-0.0468193,-0.127,0.440513,0.207525
260,3.1472,-0.398656,-0.0333456,-0.0979008,0.458812,0.223395
262,3.16229,-0.435284,-0.0378631,-0.111221,0.475553,0.275267
264,3.1809,-0.47897,-0.0202126,-0.106984,0.491319,0.289353
266,3.20137,-0.523775,-0.00641321,-0.119238,0.489968,0.334398
268,3.21821,-0.559048,-0.00735953,-0.135626,0.491398,0.286725
270,3.23842,-0.600168,-0.00437091,-0.153528,0.488686,0.377129
272,3.2611,-0.643419,0.00203012,-0.172852,0.486653,0.444909
274,3.28517,-0.685192,0.00253589,-0.188403,0.488566,0.381118
276,3.31122,-0.726468,-0.00417516,-0.198183,0.488512,0.382924
278,3.33871,-0.766792,-0.0135463,-0.202929,0.490551,0.314958
280,3.3678,-0.806222,-0.0244538,-0.203913,0.48991,0.33635
282,3.39813,-0.844476,-0.03555,-0.2011,0.489516,0.349475
284,3.42954,-0.881533,-0.0464216,-0.196428,0.491344,0.288541
286,3.46253,-0.918211,-0.0566068,-0.187731,0.490649,0.311716
288,3.49615,-0.953555,-0.0659862,-0.179406,0.492028,0.265749
290,3.53113,-0.988348,-0.0746089,-0.167731,0.491102,0.296609
292,3.56671,-1.02188,-0.0570449,-0.167286,0.492429,0.25237
294,3.60316,-1.05442,-0.0656277,-0.158336,0.491403,0.28657
296,3.64047,-1.08598,-0.0734704,-0.149988,0.490043,0.331887
298,3.67851,-1.11624,-0.055845,-0.14976,0.491651,0.278304
300,3.7181,-1.14603,-0.0638903,-0.141128,0.490889,0.303686
302,3.75789,-1.17438,-0.0451416,-0.135297,0.491983,0.267218
304,3.79856,-1.20166,-0.0534959,-0.131817,0.491071,0.297618
306,3.83989,-1.22773,-0.0613588,-0.12848,0.492568,0.247745
308,3.88211,-1.25277,-0.0287127,-0.109546,0.491621,0.279297
310,3.92486,-1.2766,-0.0374854,-0.112255,0.493094,0.230204
312,3.96849,-1.29955,-0.0450861,-0.110231,0.492039,0.265368
314,4.01241,-1.32133,-0.0525261,-0.108891,0.493185,0.227153
316,4.05685,-1.34201,-0.0332323,-0.094574,0.492049,0.265024
318,4.10179,-1.36149,-0.0413369,-0.0983068,0.490719,0.30938
320,4.14718,-1.37955,-0.0234561,-0.0802978,0.492494,0.250193
322,4.19341,-1.39648,-0.0312433,-0.085759,0.491796,0.273462
324,4.23983,-1.41213,-0.0389895,-0.0904651,0.493211,0.226291
326,4.28695,-1.42679,-0.0207304,-0.0654733,0.492293,0.256916
328,4.3342,-1.4403,-0.028296,-0.0733496,0.493418,0.219415
330,4.38181,-1.45271,-0.0350344,-0.0770736,0.492396,0.253476
332,4.42957,-1.46397,-0.0299982,-0.0701714,0.493628,0.212413
334,4.47773,-1.47417,-0.0363688,-0.0734866,0.492615,0.246182
336,4.526,-1.48324,-0.042803,-0.0772002,0.493807,0.206428
338,4.5746,-1.49125,-0.0484907,-0.077349,0.492772,0.240943
340,4.62324,-1.49816,-0.0322546,-0.0641,0.493929,0.202363
342,4.67216,-1.50403,-0.0379987,-0.0669454,0.492887,0.237105
344,4.72108,-1.50881,-0.0218064,-0.0464739,0.494021,0.199307
346,4.77022,-1.51255,-0.0274471,-0.0526716,0.492983,0.233901
348,4.81931,-1.51523,-0.0334144,-0.0592758,0.4941,0.19666
350,4.86858,-1.51687,-0.0172829,-0.0333946,0.495527,0.149097
352,4.91792,-1.51751,-0.0228354,-0.042303,0.494177,0.194086
354,4.96723,-1.51716,-0.0280517,-0.0482861,0.495435,0.152157
356,5.01656,-1.51596,-0.0325314,-0.0500537,0.49411,0.196347
358,5.0659,-1.51374,-0.017619,-0.0306234,0.494947,0.168449
360,5.11563,-1.51042,-0.022178,-0.0367506,0.494129,0.1957
362,5.16475,-1.50623,-0.00751037,-0.00398233,0.495081,0.163979
364,5.2142,-1.50121,-0.0103977,-0.0108132,0.493896,0.203452
366,5.26288,-1.49549,-0.0148555,-0.0209419,0.494456,0.184796
368,5.31169,-1.48882,-0.00928919,-0.00934657,0.493217,0.226113
370,5.36037,-1.48111,-0.0145129,-0.0227464,0.494258,0.191399
372,5.40876,-1.47246,-0.0182964,-0.028155,0.493399,0.220019
374,5.45703,-1.46291,-0.0045151,0.00108115,0.494203,0.193221
376,5.50526,-1.4523,-0.00891045,-0.0121399,0.495559,0.148032
378,5.55319,-1.44082,-0.0126974,-0.0203298,0.494458,0.184749
380,5.60103,-1.42845,-0.0170609,-0.0291143,0.495394,0.153539
382,5.64857,-1.41534,-0.00222527,0.00695524,0.494266,0.191128
384,5.69589,-1.40151,-0.0060903,-0.0058131,0.494867,0.17111
386,5.74309,-1.38674,-0.00991255,-0.0157126,0.493755,0.208151
388,5.78985,-1.37109,-0.00591979,-0.00820991,0.494786,0.173796
390,5.83637,-1.35455,-0.00919576,-0.0157819,0.496149,0.128363
392,5.88288,-1.33727,0.0036129,0.0250965,0.494727,0.175783
394,5.92893,-1.31931,0.000414341,0.0100774,0.495464,0.151204
396,5.97476,-1.30051,-0.0025948,-0.000802113,0.494344,0.188537
398,6.02011,-1.28096,-0.0065552,-0.0129882,0.49525,0.158341
400,6.06513,-1.26073,-0.000756736,0.003513,0.494285,0.190501
402,6.1099,-1.2398,-0.00455337,-0.009001,0.494759,0.174712
404,6.15424,-1.21802,-0.00828471,-0.0187846,0.495964,0.134519
406,6.19835,-1.19544,0.0036976,0.0159121,0.494886,0.170464
408,6.24195,-1.17221,0.000533502,0.00256531,0.495739,0.14203
410,6.28526,-1.14822,-0.00233571,-0.00654418,0.494674,0.177517
412,6.32812,-1.12351,0.00106524,0.00280368,0.495511,0.149623
414,6.37039,-1.09817,-0.00187701,-0.00694737,0.496716,0.109482
416,6.41257,-1.07211,-0.00419679,-0.0115903,0.495467,0.151109
418,6.45416,-1.04559,0.00579434,0.0224403,0.496029,0.132382
420,6.49548,-1.01832,0.00385919,0.0118063,0.495034,0.165543
422,6.53627,-0.99051,0.000995812,0.000163826,0.495773,0.140903
424,6.57657,-0.962125,0.00478452,0.014382,0.496773,0.107562
426,6.61674,-0.933063,0.00321684,0.0072531,0.495491,0.150302
428,6.65632,-0.903576,0.00632879,0.0190079,0.496041,0.131964
430,6.69556,-0.873383,0.0043603,0.00906467,0.495041,0.165302
432,6.73424,-0.842706,0.00149888,-0.00209556,0.495776,0.140814
434,6.77251,-0.811391,0.010065,0.0406056,0.496776,0.107464
436,6.81049,-0.779522,0.00947305,0.030373,0.495502,0.149927
438,6.84786,-0.74727,0.00694595,0.0153584,0.496054,0.131523
