idx,car_position_x,car_position_y,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,5.06429e-05,6.12547e-08,-0.00810188,0.222013,0,0
2,5.06598e-05,6.10351e-08,-0.00810188,0.222013,0.100001,-0.997631
3,0.000318412,-2.74229e-05,-0.00790007,0.187519,0.100001,-1.15037
4,0.000880881,-0.000106272,-0.00751595,0.118075,0.102887,-1.01672
5,0.00699189,-0.00106062,-0.00779452,0.0329333,0.10475,-0.681617
6,0.0175529,-0.00346803,-0.0080917,-0.0343548,0.159324,-0.202035
7,0.0245763,-0.0055017,-0.00389279,-0.0818955,0.206657,0.17489
8,0.0331308,-0.00837756,-0.00348191,-0.107505,0.172744,0.42835
9,0.0410767,-0.0111127,-0.00311401,-0.0989665,0.190439,0.567492
10,0.0523508,-0.0147613,-0.00280614,-0.0680818,0.184542,0.541455
11,0.0699375,-0.0196404,-0.000490378,-0.0320576,0.221324,0.398754
12,0.0915425,-0.0246891,-0.00148426,0.00488763,0.284492,0.204026
13,0.109293,-0.0283571,-0.00261929,0.0210414,0.325209,0.046654
14,0.136842,-0.033618,-0.00461384,0.0366974,0.281397,-0.0246977
15,0.164486,-0.0386594,-0.00665226,0.0351389,0.382359,-0.063217
16,0.201346,-0.0454819,-0.00901047,0.0310526,0.381336,-0.0444859
17,0.238844,-0.0525851,-0.0109486,0.0265999,0.476726,0.0156981
18,0.284496,-0.0613746,-0.0127454,0.0262842,0.481672,0.0432476
19,0.331777,-0.0703808,-0.00387937,0.0252282,0.56609,0.0840743
20,0.385802,-0.0804531,-0.00511076,0.0292175,0.581341,0.148063
21,0.442919,-0.090596,0.0153008,-0.0636829,0.626033,0.154491
22,0.501642,-0.100404,0.0171048,-0.058456,0.654978,0.417984
23,0.563305,-0.109673,0.0183763,-0.0296721,0.663154,0.347668
24,0.629015,-0.117477,0.0345199,-0.00402168,0.6807,0.242573
25,0.696785,-0.123655,0.0330539,0.0183896,0.704282,0.231188
26,0.765249,-0.12812,0.0302867,0.0488265,0.720372,0.127927
27,0.837189,-0.131221,0.0262163,0.0611468,0.723965,-0.000796851
28,0.909534,-0.133921,0.0285642,0.0521146,0.741014,-0.0273381
29,0.983545,-0.136754,0.0254782,0.0496156,0.752264,0.0579113
30,1.05705,-0.139398,0.0229283,-0.00216096,0.756516,0.0548018
31,1.13265,-0.141608,0.0262848,0.0103122,0.760441,0.108791
32,1.20861,-0.143234,0.0238218,0.020967,0.765677,0.0489192
33,1.28516,-0.144243,0.0209639,0.0261034,0.775905,0.00741201
34,1.36274,-0.145016,0.0180735,0.0268992,0.775147,-0.0111124
35,1.44026,-0.145792,0.017329,0.0280871,0.78346,-0.0128615
36,1.51861,-0.146668,0.0149092,0.0268184,0.784122,-0.00738317
37,1.59702,-0.147625,0.0128098,0.0260724,0.787442,-0.00312739
38,1.67576,-0.148631,0.00966536,0.0319242,0.790327,-0.000447006
39,1.75478,-0.149657,0.00758176,0.0318616,0.790716,-0.0401181
40,1.83143,-0.150616,0.00573701,0.0329909,0.793537,-0.0284239
41,1.91078,-0.151653,-0.00183083,0.00352166,0.782059,-0.039202
42,1.98901,-0.152925,-0.00169807,-0.000309361,0.788832,0.0222431
43,2.06899,-0.154289,-0.00141146,0.00273622,0.794113,0.0286439
44,2.14838,-0.155408,-0.00334264,0.00639755,0.793864,0.0149973
45,2.22775,-0.156352,-0.00341005,0.00787654,0.800213,-0.00989927
46,2.30777,-0.157271,-0.00343339,0.00694343,0.793688,-0.00771824
47,2.38714,-0.158251,-0.00331459,0.00617072,0.800153,-0.000356205
48,2.46715,-0.159276,-0.00822684,0.00872555,0.797058,0.00487279
49,2.54684,-0.160284,-0.00814339,0.00917766,0.798362,-0.0338195
50,2.6267,-0.161388,-0.00790534,0.00593016,0.799479,-0.0219552
51,2.70665,-0.162716,-0.0177,0.0228274,0.798047,-0.00411617
