idx,car_position_x,car_position_y,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,4.65337e-05,1.14493e-07,-0.00459449,-0.290837,0,0
2,4.65507e-05,1.14273e-07,-0.0045945,-0.290837,0.025,-0.422852
3,0.000677603,-3.04276e-05,-0.00462543,-0.259016,0.05,-0.422852
4,0.00581971,-0.000326765,-0.00570874,-0.217787,0.075,-0.341
5,0.0135179,-0.00104408,-0.00716405,-0.183972,0.1,-0.238011
6,0.0202006,-0.00188657,-0.00821068,-0.153497,0.125,-0.155709
7,0.0325148,-0.00371703,-0.00997061,-0.13497,0.15,-0.0808357
8,0.0473699,-0.00610025,-0.011911,-0.123475,0.175,-0.0408618
9,0.0621187,-0.0086147,-0.0136419,-0.108391,0.2,-0.0207604
10,0.0817306,-0.0121132,-0.00291351,-0.0626165,0.225,0.00903764
11,0.103849,-0.0160814,-0.00428396,-0.0592626,0.25,0.0818768
12,0.128402,-0.0203886,-0.00579269,-0.0622673,0.275,0.0814641
13,0.153053,-0.02459,-0.00731003,-0.0590201,0.3,0.0637859
14,0.182564,-0.0295188,-0.00907327,-0.0596896,0.325,0.0620021
15,0.214612,-0.0346677,-0.0110035,-0.0601163,0.35,0.048274
16,0.249167,-0.0400202,-0.0130722,-0.05892,0.375,0.0340036
17,0.286224,-0.0455994,0.00318863,-0.0464135,0.4,0.0227112
18,0.325774,-0.0514344,0.00143136,-0.0420435,0.425,0.083436
19,0.367775,-0.0574264,-0.000326373,-0.0429098,0.45,0.0808701
20,0.409901,-0.0631992,0.0198804,-0.0268705,0.475,0.0643873
21,0.45691,-0.0694461,0.0186181,-0.027241,0.5,0.122997
22,0.506425,-0.0755881,0.01716,-0.0329748,0.525,0.112191
23,0.556101,-0.0812903,0.00496365,-0.0277097,0.55,0.087168
24,0.610709,-0.0871713,0.00341776,-0.0298564,0.575,0.0662401
25,0.667887,-0.0928831,0.00172513,-0.0300761,0.6,0.0479748
26,0.727594,-0.0984933,-3.37258e-06,-0.0283475,0.625,0.0335693
27,0.789818,-0.104075,-0.00285614,-0.0197788,0.65,0.0232087
28,0.854553,-0.109689,-0.00399766,-0.0157808,0.675,0.0888885
29,0.92175,-0.115174,-0.00507771,-0.0178077,0.7,0.0870819
30,0.989078,-0.120273,-0.00533792,0.0267277,0.725,0.0700148
31,1.06131,-0.125426,-0.00185511,0.0206668,0.75,0.111512
32,1.13609,-0.130113,-0.000562336,0.0125585,0.775,0.099127
33,1.21343,-0.134143,0.000177506,0.00544173,0.8,0.0783713
34,1.29331,-0.137582,-0.00318626,0.00159333,0.8,0.0592005
35,1.37321,-0.140464,-0.00268181,-0.000781763,0.8,0.0362439
36,1.45314,-0.142964,-0.00277351,-0.00192266,0.8,0.030179
37,1.53309,-0.145202,-0.00453935,0.00188113,0.8,0.0229069
38,1.61305,-0.14723,-0.00437818,0.00188372,0.8,0.0226353
39,1.69301,-0.149082,-0.00421838,0.00184816,0.8,0.0185294
40,1.77297,-0.150773,-0.0072975,-0.00331275,0.8,0.0143148
41,1.85295,-0.152335,-0.00492187,-0.00562738,0.8,0.00685815
42,1.93293,-0.153811,-0.00532498,-0.00452997,0.8,0.00168255
43,2.01291,-0.155252,-0.00562474,-0.00298873,0.8,9.91758e-05
44,2.0929,-0.156687,-0.00650396,-0.00154323,0.8,-0.00029565
45,2.17289,-0.158124,-0.0065732,-0.000190355,0.8,-0.00566336
46,2.25288,-0.159583,-0.00651793,0.00163011,0.8,0.0241203
47,2.33285,-0.160986,-0.00628874,-0.00560237,0.8,0.0270738
48,2.41282,-0.162193,-0.00678218,-0.00703655,0.8,0.00877175
49,2.49281,-0.163253,-0.00733076,-0.00677096,0.8,0.00261071
50,2.5728,-0.164265,-0.000337194,-0.00575495,0.8,0.000534661
51,2.65279,-0.165264,-0.000831636,-0.00659829,0.8,-0.024426
52,2.7328,-0.166345,-0.00130632,-0.00497992,0.8,-0.0262273
53,2.81282,-0.167623,-0.000862015,-0.000668937,0.8,-0.0221003
54,2.89282,-0.169093,-0.00169583,-0.00250359,0.8,-0.00928396
55,2.97281,-0.170695,-0.0018551,-0.00137945,0.8,-0.00441336
56,3.0528,-0.172355,-0.00108715,0.000216584,0.8,-0.00235245
57,3.13279,-0.174044,-0.00105253,0.000678852,0.8,0.003402
58,3.21277,-0.175734,-0.000999783,0.000606722,0.8,0.00426216
59,3.29275,-0.177396,-0.000955449,0.000461531,0.8,0.00376472
60,3.37273,-0.179029,0.000735066,-0.0387741,0.8,0.00300867
61,3.45271,-0.180636,-0.00219197,-0.0344261,0.8,-0.0201589
62,3.53271,-0.1823,-0.00469902,-0.0280093,0.8,-0.0222595
63,3.6127,-0.184129,-0.000858196,-0.0225759,0.8,-0.0188842
64,3.69269,-0.186123,-0.00965483,-0.0479522,0.8,-0.00181409
65,3.77267,-0.188208,-0.0130585,-0.0371602,0.8,0.00290018
66,3.85264,-0.190294,-0.0092947,-0.0286787,0.8,0.00378718
67,3.93261,-0.192357,-0.0112155,-0.0194608,0.8,0.05677
