idx,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,0.0150895,-0.00963079,0,0
2,0.00308258,-0.0706814,0.100001,0.108706
3,0.00308258,-0.0706814,0.100001,0.322631
4,0.00394246,-0.0407515,0.100001,0.353787
5,0.00449965,-0.00621895,0.197412,0.182507
6,0.00486815,-0.0133108,0.197158,0.0134394
7,0.00556687,-0.0123553,0.177636,0.0394532
8,0.00631201,-0.00855764,0.250242,0.0231958
9,0.00720553,-0.00613351,0.27738,-0.00136345
10,0.00806127,-0.00614967,0.350185,-0.0284558
11,0.00902278,-0.00882374,0.377479,-0.0353756
12,0.00471661,0.000924652,0.450411,-0.0409227
13,0.00586563,-0.00245281,0.477662,-0.0603356
14,0.0132724,-0.00815934,0.477758,-0.046877
15,0.0146064,-0.012676,0.574591,-0.0173551
16,0.0160271,-0.0156785,0.578131,-0.0110092
17,0.0171881,-0.0167239,0.669364,-0.0228959
18,0.0181811,-0.0207248,0.678216,-0.0263642
19,0.020539,-0.0236138,0.76066,-0.0308244
20,0.0210564,-0.0266797,0.778277,-0.0215054
21,0.0211989,-0.0288706,0.860811,-0.0362387
22,0.00759006,0.00851363,0.878337,-0.0342379
23,0.00808294,0.00508179,0.961023,-0.071431
24,0.00844025,-0.00180063,0.978483,-0.0463122
25,0.00874822,-0.00653397,1.06148,-0.03252
26,0.00829058,-0.00950681,1.0786,-0.0197155
27,0.0060286,-0.0103742,1.16157,-0.018128
28,0.00525131,-0.012205,1.17864,-0.0248291
29,0.00417621,-0.014661,1.26164,-0.00711458
30,-0.00103452,-0.00760994,1.27877,0.00517164
31,-0.00395493,-0.0195079,1.33264,0.038103
32,-0.00523617,-0.0169007,1.35687,-0.0253637
33,-0.00567205,-0.019229,1.37885,0.00247688
34,-0.00676603,-0.0136819,1.40719,0.00889247
35,-0.00775421,-0.012491,1.40383,-0.0232934
36,-0.00506402,-0.0145201,1.42953,0.00158795
37,-0.00519589,-0.0148036,1.44377,0.0297209
38,-0.00998901,0.00187983,1.44713,0.0333059
39,-0.0146106,0.00932901,1.46386,0.02941
40,-0.0177843,0.0111989,1.46393,-0.0278321
41,-0.0069125,0.030394,1.4655,0.0164736
42,-0.0143023,0.0344574,1.47303,-0.107461
43,-0.0210599,0.0266706,1.47034,-0.046409
44,-0.0241224,0.0217837,1.47591,-0.0330264
45,-0.0253037,0.0172538,1.48491,0.00281241
46,-0.0245919,0.0174914,1.48109,0.0244684
47,-0.0208707,-0.00611028,1.49026,0.0249089
48,-0.0164981,0.00226924,1.48805,0.0251681
49,-0.0155233,0.00972235,1.49093,0.0552708
50,-0.00921163,0.0124663,1.48989,0.0395874
51,0.0189247,0.0123663,1.48059,0.141438
52,0.0574154,0.0202548,1.39173,-0.198185
53,0.0625348,0.0339587,1.39184,-0.139186
54,0.0486083,0.0239147,1.37944,-0.266907
55,0.0157915,-0.000684314,1.33325,-0.0932789
56,-0.0230199,-0.00592014,1.31461,0.304929
57,-0.0579287,-0.00144114,1.31116,0.606553
58,-0.072234,0.031762,1.31129,1
59,-0.0832762,0.102706,1.31264,1
60,-0.0961752,0.195701,1.26628,1
61,-0.10154,0.071893,1.22199,1
62,-0.140639,0.159925,1.20821,1
63,-0.139456,0.253503,1.15132,1
64,-0.089718,0.343863,1.12655,1
65,-0.0563065,0.444515,1.11598,1
66,0.0051458,0.532432,1.16086,1
67,0.0375334,0.631585,1.16566,1
68,0.0919158,0.719918,1.25705,1
69,0.131243,0.60654,1.26043,1
70,0.183199,0.492672,1.34676,1
71,0.194806,-0.363277,1.34841,1
72,0.243609,-0.278333,1.32795,1
73,0.27076,-0.186638,1.388,1
74,0.294199,-0.0969488,1.40537,1
75,0.301553,-0.00510397,1.4157,1
76,0.30164,0.0837977,1.43635,0.887794
77,0.2891,0.167876,1.4427,0.337726
78,0.27153,0.225218,1.45531,0.0168635
79,0.245216,0.232708,1.45913,-0.268367
80,0.209333,0.219216,1.46011,-0.421089
81,0.0372158,-0.00694551,1.46224,-0.519349
82,0.0408309,-0.0541581,1.4682,-0.202028
83,0.0440754,-0.072097,1.47561,-0.224986
84,0.0424508,-0.0925849,1.47458,-0.217344
85,0.0376747,-0.106974,1.48276,-0.222737
86,0.0399904,-0.127285,1.48203,-0.264712
87,0.0320318,-0.142731,1.48411,-0.209375
88,0.0330829,-0.115333,1.48216,-0.281994
89,0.0310596,-0.0895054,1.48543,-0.175775
90,0.0341915,-0.0720535,1.48494,-0.116984
91,-0.0628769,0.0955959,1.48568,-0.0776263
92,-0.0753699,0.0881245,1.49157,-0.486268
93,-0.0880911,0.0480243,1.48796,-0.161406
94,-0.0937194,0.0334926,1.49213,-0.112108
95,-0.0914998,0.0230393,1.48952,-0.0136609
96,-0.0913692,0.0188182,1.49345,0.0617705
97,-0.0834807,-0.00279696,1.49131,0.0927195
98,-0.0796014,0.00229955,1.49265,0.113029
99,-0.0725289,-0.00114726,1.49529,0.0685585
100,-0.0654101,-0.016204,1.49346,0.107814
101,-0.0396672,0.010883,1.49672,0.0921456
102,-0.0321916,0.0199031,1.48674,-0.147649
103,-0.0290028,0.00359301,1.48561,-0.00975872
104,-0.0283362,0.00193361,1.47992,0.0711352
105,-0.031793,0.0140228,1.47326,0.125982
106,-0.0379773,0.0262142,1.46892,0.137717
107,-0.042972,0.0287956,1.45889,0.191534
108,-0.0463899,0.0425443,1.44942,0.209228
109,-0.0508224,0.0586327,1.4287,0.230959
110,-0.0590215,0.0781727,1.40425,0.243617
111,0.0583356,0.0668754,1.38987,0.309533
112,0.0854431,0.0957497,1.30717,-0.567673
113,0.0620196,0.12209,1.29136,-0.265672
114,0.0124581,0.112636,1.28935,0.334346
115,-0.0575,0.119294,1.30506,1
116,-0.121571,0.159608,1.26037,1
117,-0.157435,0.225322,1.25982,1
118,-0.1484,0.305501,1.23742,1
119,-0.138102,0.391334,1.15508,1
120,-0.130529,0.477925,1.17337,1
121,-0.00955513,-0.259685,1.1409,1
122,0.00531822,-0.177369,1.15648,1
123,0.042832,-0.0840992,1.16507,1
124,0.0764859,0.0134722,1.16389,1
125,0.107356,0.113307,1.19906,1
126,0.133645,0.210422,1.2244,1
127,0.159773,0.308368,1.26924,1
128,0.176409,0.400277,1.31035,1
129,0.196391,0.322795,1.34733,1
130,0.210743,0.273538,1.37988,1
131,0.211199,0.365338,1.40335,1
132,0.116049,-0.21438,1.42927,0.914765
133,0.139468,-0.132587,1.42215,0.313365
134,0.146491,-0.0696871,1.4544,0.123074
135,0.13797,-0.0355984,1.43749,-0.259967
136,0.125742,-0.0403249,1.43586,-0.405637
137,0.108577,-0.0709556,1.4427,-0.439938
138,0.0958228,-0.0924038,1.44861,-0.388269
139,0.085282,-0.0561288,1.46222,-0.284737
140,0.072288,-0.0253063,1.46843,-0.196261
141,0.0615824,-0.0434394,1.45798,-0.155224
142,0.00171918,-0.026095,1.46885,-0.1069
143,0.00679052,-0.0397927,1.48072,-0.0929822
144,0.0104994,-0.0482745,1.47447,-0.0397114
145,0.0132486,-0.0542944,1.48785,-0.042829
146,0.0163179,-0.0726606,1.48454,-0.0200747
147,0.0221136,-0.0654642,1.48662,0.0771164
148,0.0197477,-0.0600536,1.49037,0.0327066
149,0.0193013,-0.0571051,1.49003,0.0188109
150,0.0169709,-0.0383622,1.49266,0.0139936
151,8.87016e-05,-0.0322265,1.49372,0.0120299
152,0.00344131,-0.0328442,1.49449,-0.046786
153,0.00058628,-0.0414713,1.49598,0.0106602
154,0.00143894,-0.040807,1.49216,0.0142925
155,0.00693023,-0.0385851,1.4948,0.0136898
156,0.0069338,-0.0372002,1.49669,0.0318428
157,0.00830433,-0.0385179,1.49387,0.0174309
158,0.00505344,-0.0224625,1.49744,0.0206923
159,-0.00100618,0.00211057,1.4965,0.0206365
160,-0.00231834,0.0269897,1.49716,-0.0116381
161,0.0157721,-0.0113957,1.49678,0.0396921
162,0.0535585,-0.00573081,1.44261,0.0553173
163,0.0658646,0.00205719,1.45589,-0.00300193
164,0.0596477,0.00361748,1.40599,-0.0232968
165,0.0438213,0.003362,1.39475,0.0021629
166,0.0199961,0.00430086,1.39565,0.0896331
167,-0.00159217,0.0016422,1.35931,0.187657
168,-0.0162261,0.0199978,1.33964,0.361282
169,-0.0305058,0.0487916,1.32364,0.398976
170,-0.0561979,0.0984598,1.28735,0.516142
171,0.0542906,0.132477,1.28813,0.780605
172,0.0115176,0.189807,1.24867,0.865865
173,-0.0703363,0.265691,1.23256,1
174,-0.139154,0.346756,1.21241,1
175,-0.176493,0.441302,1.17419,1
176,-0.184123,0.533323,1.16718,1
177,-0.185955,0.632088,1.13341,1
178,-0.181635,0.729945,1.1339,1
179,-0.176903,0.767799,1.17509,1
180,-0.17052,0.76443,1.23241,1
181,-0.0152111,-0.111888,1.31881,1
182,-0.00377359,-0.0205833,1.2954,1
183,0.000340495,0.0716546,1.35138,1
184,0.00630607,0.162312,1.37494,1
185,0.00459623,0.25261,1.39049,0.744755
186,-0.00115876,0.344301,1.42573,0.44912
187,-0.00864855,0.401823,1.41982,0.122635
