idx,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,0.00708365,-0.0574465,0,0
2,0.00139721,-0.104135,0.100001,0.289396
3,0.00217801,-0.0903287,0.100001,0.478424
4,0.00300055,-0.0495526,0.158798,0.410478
5,0.00400256,-0.00859542,0.180415,0.205844
6,0.00457942,0.0128355,0.257378,-0.0308271
7,0.00506212,0.0108356,0.280132,-0.140525
8,0.0056602,-0.0017961,0.357407,-0.149553
9,0.00602956,0.016634,0.378998,-0.0999129
10,0.005874,0.0250905,0.358995,-0.197406
11,0.00235271,0.0221507,0.428941,-0.256675
12,0.00286727,-0.00190705,0.45453,-0.212814
13,0.0040719,-0.0233199,0.529817,-0.127662
14,0.00684393,-0.0350516,0.5553,-0.0567261
15,0.00881837,-0.0406643,0.630098,-0.0401897
16,0.0108972,-0.0520213,0.655753,-0.0355626
17,0.0130606,-0.0559656,0.704573,-0.00312568
18,0.0116258,-0.0546917,0.755613,-0.020476
19,0.0128301,-0.0566466,0.804461,-0.0612324
20,0.0135986,-0.0625521,0.855764,-0.0639376
21,-0.00254524,-0.000867172,0.904881,-0.0583395
22,-0.00979312,-0.00759084,0.956058,-0.0568246
23,-0.00738413,-0.0132812,1.00512,-0.078939
24,-0.00502605,-0.0210596,1.0563,-0.0473826
25,0.00631244,-0.0269523,1.10555,-0.0286984
26,0.0084322,-0.0299391,1.1564,0.033198
27,0.0106476,-0.0247822,1.20561,0.0119938
28,0.0108158,-0.0235115,1.25602,-0.00359061
29,0.0111787,-0.0284416,1.30563,-0.00173389
30,0.0105297,-0.02865,1.33063,0.0378306
31,0.0083459,0.0202062,1.36759,0.0268615
32,0.00649646,0.0229282,1.38609,-0.0208077
33,-0.000278559,0.019358,1.40702,-0.00515583
34,-0.0023742,0.0234097,1.4244,-0.0108039
35,-0.0105183,0.0242837,1.42595,-0.0246673
36,-0.0129082,0.0219342,1.44351,-0.0380141
37,-0.0138924,0.0198788,1.45384,0.00164736
38,-0.0154224,0.0199835,1.4569,0.018584
39,-0.0182346,0.0412051,1.46909,0.0365525
40,-0.0191774,0.0368387,1.46985,0.0543925
41,-0.0137851,0.00162486,1.47634,0.067021
42,-0.0118754,0.00817044,1.48135,-0.214087
43,-0.00868406,-0.0174145,1.48101,-0.0835354
44,-0.00675302,-0.0267625,1.47208,0.00780421
45,-0.00827233,-0.0265749,1.4779,0.0293825
46,-0.00391339,-0.0280836,1.4862,0.0318346
47,-0.00456586,-0.0249953,1.47932,0.10653
48,-0.00443565,-0.00817137,1.48958,0.0920867
49,-0.00469134,-0.00664777,1.47716,0.13293
50,-0.00893393,0.00709925,1.48469,0.0825296
51,0.0106143,0.0595311,1.49014,0.0239506
52,0.0234561,0.0639445,1.38469,0.0345985
53,0.0208008,0.0668883,1.41615,0.0502704
54,0.00404317,0.0716052,1.34744,0.131665
55,-0.0193117,0.0822107,1.33499,0.297444
56,-0.0457481,0.0943778,1.32164,0.446522
57,-0.0763316,0.138156,1.29517,0.740472
58,-0.0994799,0.202008,1.30439,0.793973
59,-0.113282,0.241421,1.26677,0.842552
60,-0.133458,0.322755,1.25963,0.880217
61,-0.0551835,0.130173,1.22128,0.728005
62,-0.100159,0.202776,1.24818,1.5
63,-0.0875147,0.30315,1.25957,1.5
64,-0.0785909,0.444425,1.22791,1.5
65,-0.0299502,0.591423,1.30134,1.5
66,0.0126685,0.724297,1.35458,1.5
67,0.0165193,0.862119,1.41055,1.5
68,0.049823,0.987409,1.44518,1.5
69,0.0575619,1.1199,1.4807,0.963962
70,0.0624361,0.984312,1.52715,0.42258
71,0.163953,0.190813,1.50514,0.139407
72,0.128727,0.263524,1.44815,0.0142601
73,0.0948491,0.305933,1.47479,-0.455777
74,0.0543778,0.312695,1.46178,-0.513512
75,0.0246913,0.285036,1.46819,-0.665122
76,0.0246913,0.285036,1.46713,-0.50427
77,-0.0124819,0.182462,1.4667,-0.61116
78,-0.0150258,0.120443,1.48074,-0.097816
79,-0.00967248,0.0610943,1.47184,-0.108864
80,-0.00571952,0.0293983,1.46057,-0.00759
81,-0.0209188,0.146304,1.46832,-0.154017
82,-0.0472856,0.135992,1.48237,-0.267512
83,-0.0625126,0.109719,1.47404,-0.122209
84,-0.0791131,0.103577,1.49074,-0.0132004
85,-0.081935,0.101774,1.48527,-0.0419917
86,-0.0872301,0.100183,1.49109,0.0376662
87,-0.0878061,0.109216,1.49423,0.00264874
88,-0.0824311,0.112895,1.49487,-0.0228099
89,-0.0760161,0.0756491,1.49886,0.000330334
90,-0.0649685,0.0330731,1.49489,0.0107462
91,-0.0640535,0.0872654,1.49802,0.0329824
92,-0.0740813,0.0904107,1.49738,-0.291921
93,-0.0898823,0.0644377,1.496,-0.0602027
94,-0.0951543,0.0634411,1.49763,-0.0435201
95,-0.0930862,0.0593587,1.49496,-0.00321279
96,-0.0895665,0.058008,1.49792,0.0678092
97,-0.0829424,0.0609489,1.49727,0.0975502
98,-0.0771738,0.0615713,1.49669,0.133694
99,-0.0679907,0.0425827,1.4976,0.121146
100,-0.0645415,0.0251251,1.49601,0.153329
101,-0.0128266,-0.0451826,1.49706,0.0756979
102,-0.00283386,-0.0356149,1.47728,0.0662579
103,0.00254693,-0.028512,1.48048,0.031043
104,8.80135e-05,-0.0254214,1.46075,0.0801538
105,-0.00506657,-0.0196618,1.45337,0.136003
106,-0.0177277,-0.00648166,1.44148,0.220495
107,-0.033918,0.00432512,1.42627,0.263718
108,-0.049672,0.0292687,1.42771,0.405517
109,-0.0677871,0.0708341,1.40617,0.410647
110,-0.0906936,0.122128,1.38864,0.571341
111,0.0282509,0.191506,1.36628,0.512034
112,-0.000441934,0.239362,1.28852,-0.0668012
113,-0.0473882,0.262682,1.26609,0.224163
114,-0.088659,0.258913,1.27878,0.860243
115,-0.11965,0.307138,1.25417,1.5
116,-0.118022,0.376485,1.25559,1.5
117,-0.0950333,0.48766,1.22702,1.5
118,-0.069518,0.618376,1.21573,1.5
119,-0.0439082,0.719994,1.22673,1.5
120,-0.0215336,0.7821,1.24627,1.5
121,0.0291321,-0.273066,1.3193,1.5
122,0.049342,-0.139111,1.32485,1.5
123,0.0581053,-0.000680859,1.35789,1.46956
124,0.0569094,0.136181,1.37957,0.820143
125,0.0473868,0.239185,1.40406,0.490627
126,0.0303567,0.308269,1.41051,0.0921187
127,0.0119824,0.34527,1.41065,-0.104856
128,-0.00522926,0.354348,1.40923,-0.268122
129,-0.0182676,0.320343,1.41468,-0.303423
130,-0.0247059,0.230812,1.42999,-0.246804
131,-0.0111594,0.000407743,1.44298,-0.19016
132,-0.0106229,-0.0173378,1.45389,-0.0486038
133,-0.00812172,-0.0244006,1.46197,-0.0466344
134,-0.000191862,-0.0318866,1.44453,-0.0074111
135,0.00265026,-0.0327189,1.46043,0.0393224
136,0.00898184,-0.0319152,1.47431,0.0162617
137,0.0100968,-0.0285693,1.46545,0.0485167
138,0.00932217,-0.00788857,1.4849,0.00530413
139,0.00756959,-0.0377045,1.47767,0.0100782
140,0.00701932,-0.0382944,1.48573,0.0504757
141,0.0128568,-0.0295186,1.48615,0.11068
142,0.0122643,-0.028133,1.48854,-0.01102
143,0.0147774,-0.0315993,1.48021,0.0649069
144,0.0144187,-0.0254206,1.48525,0.0577296
145,0.0143227,-0.0196079,1.49205,0.0282559
146,0.0104044,-0.017588,1.48628,0.0173602
147,0.00437986,-0.0143455,1.49532,0.000558525
148,0.0031221,-0.0318729,1.49155,-0.0304739
149,-0.000691623,-0.0222246,1.49501,-0.021562
150,0.00180291,-0.000546635,1.49601,-0.0356905
151,0.00954518,-0.0271768,1.49503,0.0105769
152,0.0164165,-0.0192868,1.49838,0.0184094
153,0.0166649,-0.0172804,1.48852,-0.0205592
154,0.0201227,-0.0224499,1.49379,-0.0176755
155,0.0204823,-0.0207124,1.49686,0.0300647
156,0.0175191,-0.0056959,1.49283,-0.00607645
157,0.0127558,-0.00410589,1.49115,-0.082447
158,0.00862728,-0.0262846,1.4909,-0.0450295
159,0.00470082,-0.0360397,1.49674,-0.0109571
160,0.000239544,-0.0169227,1.49155,0.104669
161,0.025831,0.0176553,1.48986,0.223526
162,0.0654695,0.0380235,1.38565,0.0508909
163,0.06588,0.0516008,1.39238,0.0662654
164,0.0471442,0.0564612,1.3345,0.0922706
165,0.0144175,0.0721278,1.30929,0.354627
166,-0.0188898,0.101229,1.30568,0.604295
167,-0.0553805,0.139637,1.27448,0.875375
168,-0.0876341,0.204785,1.29696,1.23379
169,-0.105131,0.293848,1.30143,1.31857
170,-0.118421,0.391317,1.27079,1.27653
171,-0.0640259,0.208734,1.24765,1.00158
