idx,car_position_x,car_position_y,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,1.62433e-07,-4.62608e-05,0.000909926,0.131498,0,0
2,1.62226e-07,-4.62779e-05,0.000909929,0.131498,0.2,0.0661713
3,5.92497e-06,-0.00994795,0.00221204,0.129842,0.4,0.0661713
4,1.68764e-05,-0.029949,0.00479038,0.126469,0.6,0.0667666
5,3.17116e-05,-0.0600508,0.0106655,0.0827917,0.8,0.0679017
6,4.9276e-05,-0.100253,0.0139292,0.0791588,1,0.0695915
7,6.86476e-05,-0.150555,0.0178078,0.0746976,1.2,0.0719262
8,8.91798e-05,-0.210959,0.0221706,0.0694784,1.4,0.0414809
9,0.000109228,-0.281461,0.0268693,0.0635926,1.5,0.0429488
10,0.000126892,-0.362062,0.0217791,0.0480531,1.5,0.0447832
11,0.000140098,-0.452763,0.00786496,0.0514741,1.5,0.0226859
12,0.000145902,-0.553563,0.0127328,0.045,1.5,0.00761708
13,0.000141682,-0.664464,0.0328473,0.0357124,1.5,0.00821379
14,0.000121913,-0.785464,0.0367547,0.0288562,1.5,0.0196153
15,8.4041e-05,-0.916565,0.0398661,0.0147896,1.5,0.0213712
16,2.52806e-05,-1.05777,0.0414646,0.00788196,1.5,0.00825965
17,-1.66332e-06,-1.20762,0.0365313,0.0153451,1.5,0.00938058
18,9.52668e-05,-1.35762,0.0385701,0.0117793,1.5,0.0283891
19,0.000446865,-1.50759,0.0460354,0.0193533,1.5,0.0293547
20,0.00121597,-1.65757,0.0456359,0.00921363,1.5,0.0545573
21,0.00257497,-1.80752,0.0324854,0.0135732,1.5,0.0620251
22,0.00478091,-1.95745,0.0340682,0.00686338,1.5,0.030974
23,0.00770411,-2.10739,0.0308089,-1.95336e-05,1.5,0.0232736
24,0.0110401,-2.25734,0.0261826,-0.0090493,1.5,0.0105897
25,0.0146416,-2.40728,0.0247106,-0.0106985,1.5,-0.00803766
26,0.0182863,-2.55724,0.0168722,-0.012295,1.5,0.00876686
27,0.0219248,-2.70719,0.0149692,-0.0131991,1.5,0.00213729
28,0.0256517,-2.85714,0.0143621,-0.0131822,1.5,0.000871522
29,0.0294059,-3.00709,0.0177703,-0.0218012,1.5,0.0128142
30,0.0332515,-3.15703,0.0234257,-0.0320737,1.5,0.010628
31,0.0372739,-3.30697,0.0382081,0.112622,1.5,0.00429994
32,0.0414161,-3.45691,0.0990629,0.128573,1.5,-0.00459232
33,0.0455694,-3.60685,0.124874,0.037353,1.5,-0.00584202
34,0.0496519,-3.7568,0.187847,-0.0437627,1.5,0.0157637
35,0.0537887,-3.90673,0.167545,-0.156835,1.5,-0.0014605
36,0.0580495,-4.05667,0.135112,-0.219819,1.5,-0.00635395
37,0.0622633,-4.20661,0.161721,-0.35136,1.5,-0.011005
38,0.0663586,-4.35656,0.17673,-0.392112,1.5,-0.0126463
39,0.0702865,-4.50652,0.1646,-0.456779,1.5,-0.0190119
40,0.0739929,-4.65649,0.149916,-0.528927,1.5,-0.0211993
41,0.0774107,-4.80646,0.280826,0.360109,1.5,-0.0263491
42,0.0804887,-4.95645,0.411433,-0.0660791,1.5,0.0503656
43,0.0838808,-5.10634,0.377418,-0.447916,1.5,0.0494505
44,0.0882815,-5.25624,0.279499,-0.69061,1.5,0.0410365
45,0.0933617,-5.40611,0.113843,-0.814522,1.5,0.0373165
46,0.0990241,-5.55598,-0.0480572,-0.840531,1.5,0.519437
47,0.107809,-5.70545,-0.0980866,-0.809229,1.5,0.563617
48,0.124045,-5.85489,-0.127023,-0.651324,1.5,0.654152
49,0.148933,-6.00269,-0.151145,-0.361618,1.5,0.741466
50,0.183195,-6.14872,-0.131795,0.0433586,1.5,0.886369
51,0.228193,-6.29175,-0.12332,0.156365,1.5,1.01304
52,0.285352,-6.43016,-0.00156403,0.43911,1.5,1.26785
53,0.357476,-6.56085,0.0884048,0.426801,1.5,1.29262
54,0.44716,-6.68087,0.24817,0.3805,1.5,1.24305
55,0.551742,-6.78687,0.321566,0.30513,1.5,1.20727
56,0.670182,-6.87902,0.355553,0.205107,1.5,1.14085
57,0.79848,-6.9547,0.392516,0.128665,1.5,1.04928
58,0.935798,-7.01496,0.429095,0.0752668,1.5,0.961938
59,1.07893,-7.05969,0.455437,0.0281528,1.5,0.820314
60,1.22607,-7.09015,0.468282,-0.0167339,1.5,0.698012
61,1.37495,-7.10815,0.473014,-0.0606565,1.5,0.574153
62,1.52481,-7.11567,0.474362,-0.0833643,1.5,0.466915
63,1.675,-7.11468,0.463542,-0.113554,1.5,0.371657
64,1.82478,-7.10667,0.441532,-0.145106,1.5,0.287969
65,1.9743,-7.09327,0.416277,-0.173187,1.5,0.218742
66,2.12321,-7.07579,0.397055,-0.193381,1.5,0.156556
67,2.27197,-7.05524,0.369005,-0.208529,1.5,0.111508
68,2.42038,-7.03256,0.336026,-0.218241,1.5,0.0626024
69,2.56852,-7.00847,0.294156,-0.226291,1.5,0.0188646
70,2.71651,-6.98371,0.254604,-0.230757,1.5,-0.0326294
71,2.86445,-6.95899,0.0939888,0.185111,1.5,-0.0663486
72,3.01253,-6.93497,0.118323,0.137786,1.5,-0.00261924
73,3.16062,-6.9113,0.133374,0.0888761,1.5,0.00853958
74,3.30868,-6.88734,0.143384,0.0431234,1.5,0.00754042
75,3.45673,-6.86326,0.13249,0.00025695,1.5,0.00658008
76,3.60475,-6.83908,0.131762,-0.0322585,1.5,-0.133568
77,3.75296,-6.81553,0.12175,-0.0632155,1.5,-0.144681
78,3.90144,-6.79379,0.103468,-0.0894386,1.5,-0.150531
79,4.05028,-6.7742,0.0875477,-0.101858,1.5,-0.163308
80,4.1994,-6.75689,0.0723506,-0.108124,1.5,-0.162844
81,4.34878,-6.74194,-0.00126655,-0.0148789,1.5,-0.16299
82,4.49839,-6.72938,-0.00444741,-0.0255799,1.5,-0.150842
83,4.64815,-6.71912,0.036399,0.00982645,1.5,-0.137543
84,4.79804,-6.71099,0.035126,-0.0292084,1.5,-0.124343
85,4.94801,-6.70478,0.0805143,-0.0786725,1.5,-0.11534
86,5.09804,-6.70033,0.0642082,-0.131503,1.5,-0.126807
87,5.24812,-6.69765,0.107113,-0.222612,1.5,-0.118817
88,5.39821,-6.69677,0.107839,-0.262164,1.5,-0.109362
89,5.5483,-6.69757,0.0997639,-0.30113,1.5,-0.10128
90,5.69836,-6.69991,0.0805175,-0.335634,1.5,-0.0758461
91,5.84838,-6.70359,0.17757,0.316054,1.5,-0.033089
92,5.99831,-6.70857,0.170188,-0.0377341,1.5,0.00379668
93,6.14816,-6.71442,0.145894,-0.26523,1.5,0.0242905
94,6.29804,-6.72012,0.0983627,-0.416154,1.5,0.0269878
95,6.44792,-6.72546,0.0272502,-0.502374,1.5,0.0318417
96,6.59781,-6.73037,-0.0536622,-0.539088,1.5,0.335049
97,6.74753,-6.7331,-0.103744,-0.661393,1.5,0.361081
98,6.89768,-6.73088,-0.135521,-0.758764,1.5,0.383295
99,7.04777,-6.72325,-0.162156,-0.812221,1.5,0.480912
100,7.19682,-6.70984,-0.168316,-0.760533,1.5,0.596809
101,7.34538,-6.68931,-0.0242053,-0.322434,1.5,0.740619
102,7.49237,-6.65975,-0.154532,-0.229029,1.5,1.00096
103,7.63614,-6.61868,-0.201472,0.0134738,1.5,1.00232
104,7.77525,-6.56366,-0.172388,0.182406,1.5,0.962245
105,7.90833,-6.49489,-0.121455,0.265305,1.5,1.17331
106,8.03188,-6.41232,-0.0667588,0.259087,1.5,1.12393
107,8.14624,-6.31544,-0.0214521,0.247498,1.5,1.04747
108,8.25007,-6.20828,0.0298343,0.231409,1.5,0.993423
109,8.34387,-6.09034,0.0862571,0.214309,1.5,0.955637
110,8.4259,-5.9648,0.140813,0.201796,1.5,0.90536
111,8.4969,-5.83271,0.155341,0.417822,1.5,0.850099
112,8.55702,-5.69533,0.213527,0.341436,1.5,0.798113
113,8.60658,-5.55378,0.255286,0.268524,1.5,0.746977
114,8.64596,-5.40908,0.282768,0.197449,1.5,0.697617
115,8.67565,-5.26207,0.304662,0.133941,1.5,0.646329
116,8.69629,-5.11335,0.31336,0.0759933,1.5,0.612814
117,8.70819,-4.96384,0.319095,0.022788,1.5,0.438726
118,8.71258,-4.81393,0.321886,-0.0156122,1.5,0.375868
119,8.71109,-4.66395,0.316179,-0.0581861,1.5,0.313259
120,8.70484,-4.51408,0.314623,-0.0767167,1.5,0.238782
121,8.69478,-4.36422,0.118208,0.269574,1.5,0.180266
122,8.68173,-4.21477,0.154082,0.20281,1.5,0.148617
123,8.6664,-4.06557,0.177313,0.133389,1.5,0.133595
124,8.64911,-3.91658,0.192977,0.0753812,1.5,0.11135
125,8.63015,-3.76774,0.187767,0.0241982,1.5,0.102683
126,8.60968,-3.61908,0.193589,-0.0126122,1.5,-0.0157438
127,8.58804,-3.4707,0.187953,-0.0517431,1.5,-0.0210486
128,8.5661,-3.32232,0.167522,-0.0853754,1.5,-0.0361264
129,8.54454,-3.17393,0.142302,-0.108851,1.5,-0.0689328
130,8.52364,-3.02536,0.117932,-0.120749,1.5,-0.101206
131,8.50393,-2.87659,0.0363988,0.0671621,1.5,-0.124566
132,8.48581,-2.72759,0.0451045,0.0483939,1.5,-0.0714318
133,8.46857,-2.57864,0.0501657,0.018773,1.5,-0.0586486
134,8.45146,-2.42956,0.0815946,0.00207719,1.5,-0.0690462
135,8.43525,-2.28039,0.0830568,-0.0264539,1.5,-0.0764056
136,8.42009,-2.1311,0.128073,-0.077304,1.5,-0.130125
137,8.40626,-1.98167,0.119695,-0.113645,1.5,-0.129236
138,8.3942,-1.83205,0.124649,-0.140025,1.5,-0.13355
139,8.38404,-1.68229,0.183488,-0.219233,1.5,-0.13951
140,8.37586,-1.5324,0.180273,-0.258442,1.5,-0.148193
141,8.36977,-1.38241,0.116855,0.338139,1.5,-0.151439
142,8.36587,-1.23234,0.22358,0.23042,1.5,-0.0919829
143,8.36361,-1.08238,0.236431,-0.029605,1.5,-0.0796997
144,8.36234,-0.932319,0.212289,-0.232898,1.5,-0.0776607
145,8.36223,-0.782256,0.158708,-0.374862,1.5,-0.0629972
146,8.36316,-0.632207,0.118948,-0.550596,1.5,0.0159175
147,8.3645,-0.48232,0.0497082,-0.602573,1.5,0.0388938
148,8.36546,-0.332353,0.0267579,-0.674061,1.5,0.0601599
149,8.36572,-0.1824,0.00186109,-0.781398,1.5,0.135569
150,8.36489,-0.0325516,-0.0501978,-0.753637,1.5,0.23823
151,8.36172,0.117313,0.547425,0.243915,1.5,0.353773
152,8.35417,0.267134,0.440904,-0.619018,1.5,0.629656
153,8.33974,0.416373,0.178922,-0.721115,1.5,0.63607
154,8.3167,0.564552,-0.0153674,-0.563747,1.5,0.623716
155,8.28511,0.711108,-0.105033,-0.316676,1.5,1.08457
156,8.24295,0.853889,-0.171061,0.145119,1.5,1.09706
157,8.18592,0.993093,-0.152481,0.273323,1.5,1.05831
158,8.11555,1.12446,-0.117151,0.290539,1.5,1.02752
159,8.03265,1.24935,-0.0859655,0.329304,1.5,1.04679
160,8.03265,1.24935,-0.0964674,0.311875,1.5,1.04671
161,7.83188,1.47327,0.115173,0.352504,1.5,1.08669
162,7.71646,1.56894,0.168164,0.331076,1.5,1.05805
163,7.59217,1.6528,0.213565,0.289617,1.5,1.00119
164,7.46139,1.72434,0.250647,0.244984,1.5,0.943448
165,7.32405,1.78453,0.2806,0.195138,1.5,0.897251
166,7.18291,1.83248,0.318741,0.135785,1.5,0.857035
167,7.03988,1.85233,0.321491,0.084113,1.5,0.710654
168,6.89929,1.86771,0.320517,0.0595241,1.5,0.621979
169,6.75634,1.87773,0.322102,0.0246159,1.5,0.525825
170,6.61227,1.88584,0.310643,-0.0131197,1.5,0.431034
171,6.46579,1.89396,0.136823,0.323553,1.5,0.326121
172,6.31763,1.89713,0.166746,0.222976,1.5,0.275144
173,6.16851,1.89687,0.195105,0.144045,1.5,0.213424
174,6.01582,1.89465,0.224519,0.0723224,1.5,0.181879
175,5.86009,1.89003,0.223568,0.0101887,1.5,0.172817
176,5.70188,1.88196,0.23705,-0.0462504,1.5,-0.00696861
177,5.53916,1.86818,0.23787,-0.115228,1.5,-0.0340132
178,5.37865,1.8426,0.227817,-0.165903,1.5,-0.0785326
179,5.24103,1.81534,0.200031,-0.208532,1.5,-0.119086
180,5.24103,1.81534,0.215112,-0.207038,1.5,-0.167363
181,4.97952,1.77082,0.0518304,0.0443889,1.5,-0.189959
182,4.83715,1.73978,0.0600415,0.0342587,1.5,-0.194376
183,4.69938,1.71663,0.0649944,0.0116837,1.5,-0.157204
184,4.56193,1.69438,0.0704567,-0.0345913,1.5,-0.144959
185,4.43519,1.67787,0.0713466,-0.0722967,1.5,-0.17388
186,4.28811,1.65004,0.0499638,-0.0717397,1.5,-0.197563
187,4.15622,1.63499,0.0475382,-0.0709249,1.5,-0.231213
188,4.11187,1.63383,0.042489,-0.0681671,1.5,-0.210907
189,4.11163,1.63374,0.0373973,-0.0705884,1.5,-0.192053
190,3.99134,1.61703,0.0289388,-0.070937,1.5,-0.196593
191,3.86304,1.60626,-0.00458239,-0.120736,1.5,-0.194859
192,3.72078,1.59118,-0.0189883,-0.10086,1.5,-0.194612
193,3.61283,1.58743,-0.0215068,-0.0797772,1.5,-0.181525
194,3.58993,1.58583,-0.02285,-0.0655949,1.5,-0.153845
195,3.58644,1.58477,-0.0238638,-0.0561766,1.5,-0.132871
196,3.49464,1.57945,-0.0281215,-0.0491497,1.5,-0.118509
197,3.36464,1.57874,-0.0270709,-0.0410274,1.5,-0.116394
198,3.23957,1.57748,0.00629672,-0.064984,1.5,-0.108833
199,3.11173,1.57426,0.00218525,-0.0376144,1.5,-0.0263517
200,3.04827,1.573,6.4185e-05,-0.0242121,1.5,-0.0441146
201,2.99589,1.57183,-0.000650834,-0.0098498,1.5,-0.0352097
202,2.92715,1.57056,-0.000918688,0.000206159,1.5,-0.0213247
203,2.79359,1.57084,-0.00767922,0.00649066,1.5,-0.035803
204,2.67149,1.5708,-0.00445166,0.0150231,1.5,-0.0344406
205,2.5311,1.56939,0.00109115,0.0243673,1.5,-0.0327626
206,2.46214,1.56904,0.00326517,0.0289231,1.5,-0.0151059
207,2.41089,1.56858,0.00312105,0.0338506,1.5,-0.00986714
208,2.37133,1.56836,0.00444903,0.0355562,1.5,-0.00777822
209,2.233,1.56835,0.00978121,0.0341936,1.5,-0.00468098
210,2.11258,1.56844,0.0141703,0.0304487,1.5,-0.00397565
211,1.97125,1.56816,0.0180996,0.0229884,1.5,-0.0147857
212,1.89494,1.56813,0.0198036,0.017734,1.5,-0.17639
213,1.83905,1.56808,0.0207342,0.0133195,1.5,-0.166339
214,1.81423,1.56805,0.0210525,0.0116801,1.5,-0.172013
215,1.67265,1.57078,0.024545,0.0110696,1.5,-0.173882
216,1.54966,1.57455,0.0271114,0.00910063,1.5,-0.16534
217,1.41049,1.5788,0.0275002,0.00396196,1.5,-0.156912
218,1.32163,1.57755,0.022227,0.00384341,1.5,-0.158681
219,1.26949,1.57539,0.0170964,0.00775125,1.5,-0.175982
220,1.24869,1.57448,0.0148776,0.0135251,1.5,-0.17361
221,1.1203,1.58325,0.0136739,0.00537753,1.5,-0.166275
222,0.994773,1.58906,0.00650909,-0.000565851,1.5,-0.169069
223,0.861752,1.60225,0.00198045,-0.0142994,1.5,-0.177295
224,0.757834,1.60433,-0.012729,-0.0258231,1.5,-0.2016
225,0.699674,1.60233,-0.025273,-0.0293427,1.5,-0.277078
226,0.664107,1.60112,-0.0333532,-0.0287783,1.5,-0.350582
227,0.558887,1.61963,-0.0378679,-0.034509,1.5,-0.405528
tracking time,137,483000000
